[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981148061.91478,02/25/2026,2:29 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 9.39000025391579 mm,3981148201.394,14.9999113082886,-0.0179394409060478,-5.93009657652136E-6,5.44137324081553E-7,1,0.999253354069792,40.0298881530762,1.99531278334265,14.7900003939867,-2.84005166658379E-5,-1.12167593822528E-5,0.25,-1.05148115821038E-6,-5.49341467870621E-6,-1.08460064029878E-6,14.9999113082886,14.9999113082886,-0.0179394409060478,-0.0179394409060478,47.1009345688511,18.9768162424407,7.20471334457398,0,0,0,40,14.9945936203003,1,4,1,2.07595825195313,34.2131004333496,,,,,,,,,,,,,,,,
,3981148209.6715,15.0003032684326,0.732172552496195,-6.4034947890208E-6,5.24352146145402E-7,1,0.999253354069792,40.0298881530762,1.9953768602335,14.7900003939867,-3.06337459994985E-5,-1.22843275841339E-5,0.25,-1.16998959715281E-6,-5.93132794943102E-6,-1.20331842828121E-6,15.0002355575562,15.0002355575562,-0.0179394409060478,1.48228454589844,47.1306364525819,18.9736823293126,7.20562744140625,0,0,0,40,14.9952564239502,1,6,1,2.07626342773438,33.7243423461914,,,,,,,,,,,,,,,,
,3981148210.658,15.0004677772522,42.9617042541504,-5.96184089656249E-6,6.72152280038826E-7,1,0.999253354069792,40.0298881530762,1.99527973619602,14.7900003939867,-3.01437552827328E-5,-3.4514961366898E-6,0.25,5.1792734536125E-7,-5.55130424118596E-6,3.7366844094112E-7,15.0003709793091,15.0003709793091,1.48228454589844,84.4411239624023,47.188476963005,18.9768041077316,7.20586013793945,0,0,0,40,14.9948425292969,1,6,1,2.08648681640625,35.6793746948242,,,,,,,,,,,,,,,,
,3981148211.649,15.0006699562073,132.42720413208,9.49562923007816E-6,1.0941889053356E-6,1,0.999253354069792,40.0298881530762,1.99532067692556,14.7900003939867,4.75360443532555E-5,7.83911285034509E-6,0.25,-3.53754786668797E-7,8.83330222461414E-6,-1.57048818742058E-7,15.0005645751953,15.0005645751953,84.4411239624023,180.413284301758,47.1290731955434,18.9769174802231,7.20629024505615,0,0,0,40,14.9949350357056,1,6,1,2.08221435546875,35.6793746948242,,,,,,,,,,,,,,,,
,3981148212.654,15.0008058547974,229.493110656738,3.31811565491993E-5,1.27173584434022E-6,1,0.999253354069792,40.0298881530762,1.9953041090793,14.7900003939867,0.000165972299753952,2.8061776114791E-5,0.25,-1.1020861983524E-6,3.08646137538549E-5,-4.23615492845651E-7,15.0007753372192,15.0007753372192,180.413284301758,278.572937011719,47.1869137059665,18.9778919344859,7.20693635940552,0,0,0,40,14.9946327209473,1,6,1,2.07763671875,35.6793746948242,,,,,,,,,,,,,,,,
,3981148213.676,15.0008945465088,328.178894042969,6.20253806285422E-5,1.22495117561971E-6,1,0.999253354069792,40.0298881530762,1.99525684080137,14.7900003939867,0.000308307598686248,6.19899495608995E-5,0.25,-1.42245718071574E-7,5.76609187620343E-5,9.92124705769271E-7,15.0008363723755,15.0008363723755,278.572937011719,377.784851074219,47.178315792255,18.9768817748439,7.20673847198486,0,0,0,40,14.9947528839111,1,6,1,2.07534790039062,35.6793746948242,,,,,,,,,,,,,,,,
,3981148214.666,15.0010833740234,427.579940795898,9.29186449380759E-5,1.48952697825187E-6,1,0.999253354069792,40.0298881530762,1.99521713815162,14.7900003939867,0.000461237065815638,9.59456120491875E-5,0.25,4.05020870553002E-7,8.6370055129922E-5,2.06273634518575E-6,15.0009527206421,15.0009527206421,377.784851074219,477.375030517578,47.0501287151011,18.9786928981148,7.20672082901001,0,0,0,40,14.9946594238281,1,6,1,2.08358764648438,35.6793746948242,,,,,,,,,,,,,,,,
,3981148215.657,15.0012068748474,527.135940551758,0.000122560540285455,1.55055654195883E-6,1,0.999253354069792,40.0298881530762,1.99530218941908,14.7900003939867,0.000609508351504532,0.000121152915128643,0.25,-5.56747367029009E-7,0.000113943965082627,1.70916452274851E-6,15.0012140274048,15.0012140274048,477.375030517578,576.896850585938,46.8726990412357,18.9787000310119,7.20697116851807,0,0,0,40,14.9942827224731,1,6,1,2.07763671875,36.1681327819824,,,,,,,,,,,,,,,,
,3981148216.678,15.0011591911316,626.811370849609,0.000152896824353331,1.48849080126025E-6,1,0.999253354069792,40.0298881530762,1.99534399957879,14.7900003939867,0.000759786145403281,0.000154157162055381,0.25,-9.20163522924325E-8,0.000142138164726421,2.6956820492113E-6,15.00119972229,15.00119972229,576.896850585938,676.725891113281,46.890676497178,18.9775070703798,7.20738458633423,0,0,0,40,14.9942512512207,1,6,1,2.08282470703125,36.6568908691406,,,,,,,,,,,,,,,,
,3981148217.6655,15.0010442733765,726.617065429688,0.000183417439206645,1.42519990471472E-6,1,0.999253354069792,40.0298881530762,1.99529087399853,14.7900003939867,0.000911623508776771,0.000184021346353912,0.25,-2.97042470916561E-7,0.00017051662271376,3.06439547738939E-6,15.0011186599731,15.0011186599731,676.725891113281,776.508239746094,47.4620469447358,18.9767972940738,7.20736694335938,0,0,0,40,14.9942102432251,1,6,1,2.08053588867187,36.6568908691406,,,,,,,,,,,,,,,,
