[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981131388.97127,02/24/2026,9:51 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 9.34999994933605 mm,3981131528.528,5.00299453735352,0.699638187885284,-2.97609440492558E-6,3.65135533875567E-7,1,0.999253354069792,40.0298881530762,2.00858380105016,14.750000089407,-1.43518952156416E-5,-5.63416672539654E-6,0.25,-5.21386591938541E-7,-2.75709932231922E-6,-5.38461570691687E-7,5.00299453735352,5.00299453735352,0.681698739528656,0.717577636241913,47.4292185469281,18.9873422497618,3.77600979804993,0,0,0,40,4.99973726272583,1,4,1,2.0849609375,34.7018585205078,,,,,,,,,,,,,,,,
,3981131536.845,4.99654102325439,15.6915653049946,-4.4165430488829E-6,4.81637210538883E-7,1,0.999253354069792,40.0298881530762,1.99461937158726,14.750000089407,-2.16468123730154E-5,-5.88398651480531E-6,0.25,-2.86361988494551E-7,-4.10036443111578E-6,-3.46027977287496E-7,4.99644613265991,4.99644613265991,0.735517084598541,30.6476135253906,47.2009830193127,18.9915150859096,3.78298473358154,0,0,0,40,4.99415922164917,1,6,1,2.08450317382813,35.6793746948242,,,,,,,,,,,,,,,,
,3981131537.841,4.9969654083252,77.0686531066895,3.53224555510745E-7,4.40584779969427E-7,1,0.999253354069792,40.0298881530762,1.99456574551893,14.750000089407,2.91746463096175E-6,-5.36139443354094E-6,0.25,-1.15131809528117E-6,3.49172520618291E-7,-1.06386199640746E-6,4.99663591384888,4.99663591384888,30.6476135253906,123.489692687988,47.2338114171204,18.9931317204879,3.78352165222168,0,0,0,40,4.99551820755005,1,6,1,2.08541870117187,37.1456527709961,,,,,,,,,,,,,,,,
,3981131538.863,4.99774050712585,172.044742584229,1.24112624337477E-5,8.52718734504565E-7,1,0.999253354069792,40.0298881530762,1.99460156053353,14.750000089407,6.21278708033805E-5,1.01621999729018E-5,0.25,-4.78677432156588E-7,1.15460956053703E-5,-2.20347359659938E-7,4.99729490280151,4.99729490280151,123.489692687988,220.599792480469,47.3385496386973,18.9897337768733,3.7843189239502,0,0,0,40,4.9979133605957,1,6,1,2.08236694335938,37.1456527709961,,,,,,,,,,,,,,,,
,3981131539.878,4.99949550628662,269.900833129883,2.96673266620216E-5,9.62573699291287E-7,1,0.999253354069792,40.0298881530762,1.99443769515024,14.750000089407,0.000148025007304066,2.66114810446228E-5,0.25,-6.77250477435236E-7,2.7591088196214E-5,-9.21075147452668E-8,4.9981861114502,4.9981861114502,220.599792480469,319.201873779297,46.7507649922357,18.993282358222,3.78526902198791,0,0,0,40,4.99934768676758,1,6,1,2.08221435546875,36.6568908691406,,,,,,,,,,,,,,,,
,3981131540.872,5.00156450271606,368.866943359375,4.86543148275753E-5,1.016428455755E-6,1,0.999253354069792,40.0298881530762,1.99443256681467,14.750000089407,0.000242257329070371,4.61263860121146E-5,0.25,-6.11677496100772E-7,4.52407218792982E-5,3.13757631021685E-7,5.00080490112305,5.00080490112305,319.201873779297,418.532012939453,47.4651734588127,18.9936119471193,3.78604507446289,0,0,0,40,4.99989795684814,1,6,1,2.08541870117187,36.6568908691406,,,,,,,,,,,,,,,,
,3981131541.8655,5.00249290466309,468.274459838867,6.70670899291213E-5,1.13695970692414E-6,1,0.999253354069792,40.0298881530762,1.99451494357943,14.750000089407,0.000334036226462318,6.3184684863008E-5,0.25,-9.25376206441754E-7,6.23638368190337E-5,3.57429137378565E-7,5.00232410430908,5.00232410430908,418.532012939453,518.016906738281,47.0204268313704,18.9926797201554,3.78638291358948,0,0,0,40,4.99988698959351,1,6,1,2.083740234375,36.1681327819824,,,,,,,,,,,,,,,,
,3981131542.8465,5.0024197101593,567.904541015625,8.64100766453178E-5,9.07432592531385E-7,1,0.999253354069792,40.0298881530762,1.9945005544062,14.7599996998906,0.00042953193326107,8.55688067790718E-5,0.25,-3.56559117678913E-7,8.03360883716081E-5,1.23924999372081E-6,5.00266170501709,5.00266170501709,518.016906738281,617.792175292969,47.0407491728704,18.9942145318754,3.78682661056519,0,0,0,40,4.99890995025635,1,6,1,2.06298828125,38.6119270324707,,,,,,,,,,,,,,,,
,3981131543.873,5.00208044052124,672.693511962891,0.000105335878612847,9.55771176075117E-7,1,0.999253354069792,40.0298881530762,1.99450441872642,14.750000089407,0.00052383508658026,0.000103240857052479,0.25,-6.52908037958295E-7,9.79367366348162E-5,1.31022321917857E-6,5.00217771530151,5.00217771530151,617.792175292969,727.594848632813,47.3760678076204,18.9953787294552,3.78735852241516,0,0,0,40,4.99830341339111,1,6,1,2.0794677734375,37.6344108581543,,,,,,,,,,,,,,,,
,3981131544.898,5.00156116485596,772.372039794922,0.000124465909676812,9.44897248042745E-7,1,0.999253354069792,40.0298881530762,1.99449317928352,14.750000089407,0.000618983047161251,0.000121942825470941,0.25,-7.84267139284855E-7,0.000115724662243576,1.53911964035852E-6,5.00198316574097,5.00198316574097,727.594848632813,817.149230957031,47.107187597005,18.9925888796352,3.78780102729797,0,0,0,40,4.99717664718628,1,6,1,2.08358764648438,37.1456527709961,,,,,,,,,,,,,,,,
