[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981115248.3007,02/24/2026,5:22 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981115382.7115,300.078186035156,999.549713134766,2.94924999384021E-5,9.93832271078027E-7,1,0.999253354069792,40.0298881530762,1.99655562980701,12.8199998289347,0.000159637607901966,2.16674179088643E-5,0.25,-1.48207313133702E-6,2.94926930151892E-5,-1.36680621206439E-6,300.077789306641,300.077789306641,999.513854980469,999.585571289063,47.310411012005,18.9616942534614,23.0685386657715,0,0,0,40,300.610473632812,1,4,1,2.07595825195313,45.4545478820801,,,,,,,,,,,,,,,,
,3981115386.4865,300.0830078125,999.585571289063,3.08258795646762E-5,9.88040872481654E-7,1,0.999253354069792,40.0298881530762,1.99663256259907,12.8199998289347,0.000166820832372029,2.28632725883748E-5,0.25,-1.50890740305832E-6,3.08259192360426E-5,-1.38843882760849E-6,300.0830078125,300.0830078125,999.585571289063,999.585571289063,47.1259466814665,18.9668136611472,23.0649585723877,0,0,0,40,300.601348876953,6,4,1,2.0745849609375,44.9657897949219,,,,,,,,,,,,,,,,
,3981115386.8305,300.083312988281,999.567657470703,3.11931565864214E-5,9.8178030588479E-7,1,0.999253354069792,40.0298881530762,1.99654351854529,12.8199998289347,0.0001684693948096,2.49061246056717E-5,0.25,-1.19653447347056E-6,3.11919084216472E-5,-1.07469332114982E-6,300.0830078125,300.0830078125,999.549743652344,999.585571289063,47.2064544189473,18.9622513627771,23.0681533813477,0,0,0,40,300.598175048828,6,4,1,2.0751953125,44.4770278930664,,,,,,,,,,,,,,,,
,3981115387.697,300.083801269531,999.567657470703,2.98760373242263E-5,8.28108286221233E-7,1,0.999253354069792,40.0298881530762,1.99651538373067,12.8199998289347,0.000160625304857177,2.77435352413488E-5,0.25,-4.20683626852164E-7,2.98720134582167E-5,-3.04124887743267E-7,300.083618164063,300.083618164063,999.549743652344,999.585571289063,47.4768978866012,18.96491264208,23.0677509307861,0,0,0,40,300.602142333984,6,4,1,2.07763671875,44.4770278930664,,,,,,,,,,,,,,,,
,3981115388.727,300.084747314453,999.576629638672,3.02899120366225E-5,1.04690345704779E-6,1,0.999253354069792,40.0298881530762,1.99654576277847,12.8199998289347,0.000163810382295896,2.30149094250233E-5,0.25,-1.3800835992098E-6,3.02895490991709E-5,-1.26172978069444E-6,300.083984375,300.083984375,999.567687988281,999.585571289063,47.2721112145627,18.9642495103556,23.0642185211182,0,0,0,40,300.592010498047,6,4,1,2.07626342773438,44.9657897949219,,,,,,,,,,,,,,,,
,3981115389.7055,300.085891723633,999.522827148438,3.048683277732E-5,9.67634643643091E-7,1,0.999253354069792,40.0298881530762,1.9965823338169,12.8199998289347,0.000162561625817981,3.55363383077431E-5,0.25,9.17995486791822E-7,3.04774716635182E-5,1.03668070889334E-6,300.085510253906,300.085510253906,999.477966308594,999.567687988281,47.3401128957358,18.9635560905512,23.0730838775635,0,0,0,40,300.538146972656,6,4,1,2.07687377929687,44.4770278930664,,,,,,,,,,,,,,,,
,3981115390.701,300.087020874023,999.522827148438,2.91455908893208E-5,1.09786060822685E-6,1,0.999253354069792,40.0298881530762,1.99655294930078,12.8199998289347,0.000156686282027694,2.71442321463549E-5,0.25,-3.95755136267941E-7,2.91416048852201E-5,-2.82050357781687E-7,300.086273193359,300.086273193359,999.477966308594,999.567687988281,47.1345445951781,18.9653759835423,23.0685062408447,0,0,0,40,300.452362060547,6,4,1,2.07382202148438,44.9657897949219,,,,,,,,,,,,,,,,
,3981115391.716,300.088073730469,999.567687988281,3.11067574829435E-5,7.79896914636037E-7,1,0.999253354069792,40.0298881530762,1.99654515798791,12.8199998289347,0.000168498763884547,2.21889812547334E-5,0.25,-1.6870655362495E-6,3.11074326497134E-5,-1.56547025450237E-6,300.087768554687,300.087768554687,999.567687988281,999.567687988281,47.2830540138319,18.9654727165387,23.0669364929199,0,0,0,40,300.367370605469,6,4,1,2.07626342773438,44.4770278930664,,,,,,,,,,,,,,,,
,3981115392.686,300.087814331055,999.549743652344,3.15128150458373E-5,9.76726928516055E-7,1,0.999253354069792,40.0298881530762,1.99662517142414,12.8199998289347,0.000169504702653689,2.88890336938197E-5,0.25,-5.13846635749775E-7,3.15088394660092E-5,-3.90890749655428E-7,300.08837890625,300.08837890625,999.531799316406,999.567687988281,47.0899917695819,18.9627122891615,23.0714569091797,0,0,0,40,300.299255371094,6,4,1,2.07916259765625,44.9657897949219,,,,,,,,,,,,,,,,
,3981115393.665,300.08772277832,999.531799316406,2.93329775481561E-5,8.98864323564405E-7,1,0.999253354069792,40.0298881530762,1.99659098611902,12.8199998289347,0.000158036881373331,2.55020012423453E-5,0.25,-7.37184496896808E-7,2.93302863688661E-5,-6.22684687371335E-7,300.087249755859,300.087249755859,999.531799316406,999.531799316406,47.2963416986588,18.9613836337115,23.0693874359131,0,0,0,40,300.214721679687,6,4,1,2.07626342773438,45.4545478820801,,,,,,,,,,,,,,,,
