[Header]
; Copyright 1997-2010, Quantum Design, Inc. All rights reserved.
FILEOPENTIME,3981286218.733,2/26/2026,4:52 PM
BYAPP, LogDynaCoolData, 1.0, 2.2
INFO, APPNAME, DynaCool MultiVu Application, Release 1.2.5.1
FIELDGROUP, Standard,2,3,4,5,6,7,8,9,11,10
FIELDGROUP, Diagnostic,2,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
FIELDGROUP, User,2,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
TIMEMODE, MINUTES, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
RECORDS, ALL_RECORDS
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),System Pres (Torr),Chamber Status (code),Temperature Status (code),Field Status (code),Cryostat Status (code),Control Therm (ID),Sample Therm (ID),Block Temp (K),Neck Temp (K),High Neck Temp (K),Control Temp (K),1st Stage Temp (K),2nd Stage Temp (K),Magnet Temp (K),Impedance Temp (K),Pot Liquid level (%),Block Power (W),Neck Heater Power (W),High Neck Heater Power (W),1st Stage Heater Power (W),2nd Stage Heater Power (W),Magnet Voltage (V),Impedance Heater Power (W),Pot Power (W),CFE Flow (SCCM),Pump Flow (uncal SCCM),Tank Pressure (Torr),Annulus Pressure (Torr),Compressor State (code),Pirani S/N,Firm Rev,Ix,Vs,Vt,Vm,Vh,Pirani Pressure (Torr),Strain Pressure (Torr),calfactor.strcal_p0,calfactor.strcal_pathm,calfactor.strcal_V0,calfactor.strcal_Vathm,calfactor.pstr_slope,calfactor.pstr_offs,Pressure
,3981286218.73,300.0017,4999.417,32.92442,1,1,4,7,968,968,300.0551,300.0191,299.9224,300.0017,48.67536,4.248166,4.611896,,-13.876769,2.951110,0.189826,0.399885,0,0.637583,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791295,0.714438,1.920586,20.322714,32.925991,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.925991
,3981286218.99,300.0017,4999.417,32.92599,1,6,4,7,968,968,300.0551,300.0191,299.9224,300.0017,48.67536,4.248166,4.611896,,-13.876769,2.951110,0.189826,0.385871,0,0.637583,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791295,0.714438,1.920586,20.322714,32.925991,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.925991
,3981286219.11,300.0017,4999.417,32.92599,1,6,4,7,968,968,300.0551,300.0191,299.9224,300.0017,48.67536,4.248166,4.611896,,-13.876769,2.951110,0.189826,0.385871,0,0.637583,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791295,0.714438,1.920586,20.322714,32.925991,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.925991
,3981286278.19,300.0019,-690.6292,32.94068,1,1,6,7,968,968,300.0514,300.0181,299.9013,300.0019,48.67103,4.300884,4.679028,,-13.648947,2.949154,0.188615,0.398344,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791294,0.714438,1.920552,20.319782,32.939102,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.939102
,3981286341.82,300.0037,44.55149,32.91734,1,1,6,7,968,968,300.0512,300.0189,299.9175,300.0037,48.7424,4.259103,4.641486,,-13.501392,2.924734,0.168337,0.420882,0,0.4694896,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791292,0.714437,1.920606,20.320000,32.917072,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.917072
,3981286405.30,300.0022,-1463.234,32.93674,1,1,6,7,968,968,300.053,300.0221,299.9215,300.0022,48.70637,4.271866,4.647421,,-13.857696,2.948232,0.176805,0.372104,0,0.3131151,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791292,0.714436,1.920546,20.320160,32.943562,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.943562
,3981286468.81,300.0018,266.8886,32.90789,1,1,6,7,968,968,300.053,300.0211,299.9178,300.0018,48.69585,4.255583,4.617402,,-13.719678,2.944038,0.170954,0.447533,0,0.4288396,,,,,,,,,-1,1114757200,0.002911,0.582233,0.791291,0.714435,1.920632,20.323675,32.909466,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.909466
,3981286532.20,299.9649,-0.3767283,32.91497,1,6,4,7,968,968,299.0667,299.9911,299.8892,299.9649,48.6642,4.249687,4.598853,,-18.756407,0.000000,0.000000,0.000000,0,0.6676127,,,,,,,,,-1,1114757200,0.002911,0.582237,0.791292,0.714435,1.920623,20.322035,32.909729,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.909729
,3981286595.58,297.7803,-0.3408494,32.89688,1,6,4,7,968,968,293.2179,299.7578,299.778,297.7803,48.7014,4.269763,4.620252,,-20.341627,0.000000,0.000000,0.000000,0,0.1746853,,,,,,,,,-1,1114757200,0.002911,0.582236,0.791290,0.714437,1.920658,20.314215,32.894257,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.894257
,3981286659.14,292.6774,-0.4126071,32.87485,1,6,4,7,968,968,283.9679,299.3323,299.6953,292.6774,48.99228,4.280749,4.627472,,-21.561272,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582236,0.791286,0.714438,1.920702,20.300295,32.874847,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.874847
,3981286722.77,284.9464,-0.3587888,32.814,1,6,4,7,968,968,273.4626,298.2988,299.5972,284.9464,48.91639,4.28702,4.633317,,-21.234108,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791282,0.714443,1.920840,20.275213,32.814003,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.814003
,3981286786.23,276.3532,-0.4305466,32.73716,1,6,4,7,968,968,263.5276,296.4089,299.522,276.3532,49.11381,4.292934,4.636688,,-18.250694,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791276,0.714449,1.921026,20.245438,32.732178,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.732178
,3981286849.65,267.2887,-0.4664254,32.71094,1,6,4,7,968,968,253.6354,293.6029,299.426,267.2887,49.11571,4.299546,4.638243,,-18.275331,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791270,0.714453,1.921075,20.217812,32.710938,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.708576
,3981286913.01,258.1711,-0.4305466,32.63803,1,6,4,7,968,968,244.506,289.961,299.3362,258.1711,49.35239,4.297447,4.642987,,-18.204071,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791265,0.714459,1.921246,20.191359,32.635666,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.635666
,3981286976.46,249.3064,-0.4305466,32.55201,1,6,4,7,968,968,235.7399,285.6289,299.2372,249.3064,49.4444,4.298919,4.641828,,-18.440105,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582234,0.791256,0.714463,1.921440,20.157686,32.550171,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.550171
,3981287039.82,240.7214,-0.4843649,32.46913,1,6,4,7,968,968,227.3994,280.6415,299.1387,240.7214,50.02639,4.296729,4.637276,,-18.261822,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582234,0.791250,0.714471,1.921624,20.122150,32.469131,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.469131
,3981287103.32,232.269,-0.2511522,32.39622,1,6,4,7,968,968,219.1592,275.2106,299.034,232.269,49.83055,4.29177,4.6446,,-18.372023,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582235,0.791244,0.714479,1.921790,20.083414,32.396225,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.396225
,3981287166.78,223.9875,-0.3946677,32.30496,1,6,4,7,968,968,211.1618,269.2546,298.9071,223.9875,50.01261,4.291102,4.641838,,-18.325134,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582233,0.791238,0.714487,1.921992,20.047812,32.307316,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.307316
,3981287230.42,215.827,0.07175776,32.19691,1,6,4,7,968,968,203.383,262.9398,298.8242,215.827,50.27114,4.29399,4.642368,,-18.139168,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582233,0.791233,0.714501,1.922233,19.999399,32.201363,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.201363
,3981287293.87,207.8707,0.01793944,32.09646,1,6,4,7,968,968,195.7536,256.3797,298.7169,207.8707,50.44914,4.292233,4.640756,,-18.246721,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582232,0.791229,0.714513,1.922478,19.957317,32.093311,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,32.093311
,3981287357.35,200.1063,0.03587888,31.97215,1,6,4,7,968,968,188.4191,249.5143,298.5828,200.1063,50.62756,4.291085,4.64198,,-18.555870,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582229,0.791224,0.714528,1.922740,19.902935,31.978180,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.978180
,3981287420.72,192.5189,-0.01793944,31.86436,1,6,4,7,968,968,181.1287,242.5112,298.4865,192.5189,50.85292,4.288901,4.642255,,-18.222614,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582229,0.791220,0.714544,1.922989,19.853277,31.868818,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.868818
,3981287484.15,185.0741,0.01793944,31.75631,1,6,4,7,968,968,174.112,235.3261,298.3733,185.0741,51.09904,4.292292,4.641734,,-18.514015,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582225,0.791218,0.714562,1.923240,19.800152,31.758144,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.758144
,3981287547.65,177.7864,0.07175776,31.62492,1,6,4,7,968,968,167.1947,228.0779,298.234,177.7864,51.1986,4.290705,4.645265,,-18.477457,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582220,0.791212,0.714580,1.923555,19.737198,31.619408,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.619408
,3981287611.13,170.6156,0.01793944,31.48854,1,6,4,7,968,968,160.4841,220.6728,298.0703,170.6156,51.43456,4.293729,4.643641,,-18.717466,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582218,0.791211,0.714605,1.923853,19.672018,31.488541,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.488541
,3981287674.66,163.5882,0.01793944,31.3637,1,6,4,7,968,968,153.842,213.3111,297.9308,163.5882,51.67802,4.292766,4.647109,,-18.439575,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582214,0.791209,0.714629,1.924145,19.602827,31.360033,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.360033
,3981287738.23,156.8038,0.05381832,31.20215,1,6,4,7,968,968,147.4357,205.8539,297.751,156.7337,51.50422,4.291414,4.648316,,-18.797203,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582211,0.791208,0.714656,1.924516,19.529408,31.196644,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.196644
,3981287801.80,150.0784,-0.3946677,31.04034,1,6,4,7,968,968,141.137,198.3517,297.515,150.1501,52.02879,4.291128,4.650456,,-18.645145,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582205,0.791207,0.714687,1.924866,19.450119,31.042698,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,31.042698
,3981287865.21,143.5936,-0.5920016,30.87826,1,6,4,7,968,968,134.9653,190.9616,297.2846,143.5936,52.03723,4.289001,4.648535,,-18.424740,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582201,0.791209,0.714721,1.925239,19.366438,30.878523,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,30.878523
,3981287928.64,137.203,-0.6099409,30.70936,1,6,4,7,968,968,128.9729,183.4783,296.9702,137.203,52.17823,4.293669,4.649295,,-18.671108,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582193,0.791206,0.714756,1.925624,19.273802,30.709364,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,30.709364
,3981287992.31,130.8683,-0.6278804,30.54099,1,6,4,7,968,968,123.0289,176.0353,296.6376,130.8683,52.47591,4.293306,4.649448,,-18.529644,0.000000,0.000000,0.000000,0,0,,,,,,,,,-1,1114757200,0.002911,0.582187,0.791209,0.714798,1.926005,19.175228,30.541517,0.000000,780.875793,1.966500,0.220700,-440.000000,914.700012,30.541517
