[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981436168.98431,02/28/2026,10:31 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35 mm touchdown = 9.54999960958958 mm,3981436307.4385,14.000301361084,0.538183212280273,-4.07828835725449E-6,5.27917528372292E-7,1,0.999253354069792,40.0298881530762,1.9732651594716,15.4499998316169,-1.85887248640373E-5,-1.12364707746144E-5,0.25,-1.45664930594204E-6,-3.76472365769143E-6,-1.42776642525149E-6,14.000301361084,14.000301361084,0.538183212280273,0.538183212280273,47.9091384577358,18.9490156474928,6.40768098831177,0,0,0,40,13.997013092041,1,4,1,2.0697021484375,36.6568908691406,,,,,,,,,,,,,,,,
,3981436314.5905,14.000629901886,15.3600322008133,-4.85337895054625E-6,5.12914619443329E-7,1,0.999253354069792,40.0298881530762,1.97321798010514,15.4499998316169,-2.30868979070141E-5,-8.62307585835802E-6,0.25,-7.67319261824317E-7,-4.49768489114547E-6,-8.01002341070486E-7,14.0005044937134,14.0005044937134,0.502304315567017,30.2177600860596,48.2163184657936,18.9484685731332,6.40936899185181,0,0,0,40,13.9971723556519,1,6,1,2.07229614257813,37.6344108581543,,,,,,,,,,,,,,,,
,3981436315.467,14.0007381439209,81.408730506897,1.90702056364863E-7,5.54054390921524E-7,1,0.999253354069792,40.0298881530762,1.97329522984888,15.4499998316169,1.30772507008167E-6,-1.63035776763238E-6,0.25,-3.70492140705342E-7,1.83971602470761E-7,-3.40951237322697E-7,14.0007553100586,14.0007553100586,30.2177600860596,132.599700927734,48.3319994866397,18.949277634177,6.40908098220825,0,0,0,40,13.9968166351318,1,6,1,2.05093383789062,37.6344108581543,,,,,,,,,,,,,,,,
,3981436316.4595,14.000828742981,176.407051086426,1.54194215157357E-5,9.14084888724921E-7,1,0.999253354069792,40.0298881530762,1.97327024509202,15.4499998316169,7.63683811892678E-5,1.25625307934482E-5,0.25,-5.80723713726719E-7,1.43441202493477E-5,-2.60750127166721E-7,14.0007209777832,14.0007209777832,132.599700927734,220.214401245117,47.9427484840628,18.9495523286586,6.40922594070435,0,0,0,40,13.9975271224976,1,6,1,2.06512451171875,37.1456527709961,,,,,,,,,,,,,,,,
,3981436317.449,14.0009980201721,274.487022399902,3.62989750600714E-5,1.07253665170908E-6,1,0.999253354069792,40.0298881530762,1.97325280715869,15.4499998316169,0.000179657519901722,3.01742231699231E-5,0.25,-1.24557567518295E-6,3.37657397400878E-5,-5.00244505701657E-7,14.0009365081787,14.0009365081787,220.214401245117,328.759643554687,48.2038124094859,18.9464891753441,6.4095401763916,0,0,0,40,13.9974527359009,1,6,1,2.052001953125,37.1456527709961,,,,,,,,,,,,,,,,
,3981436318.4685,14.0011773109436,378.452941894531,5.83442090858058E-5,1.11928950185531E-6,1,0.999253354069792,40.0298881530762,1.97326846043564,15.4499998316169,0.000288303566553744,5.081027671326E-5,0.25,-1.5334182535299E-6,5.42646020790626E-5,-3.672545066306E-7,14.0010595321655,14.0010595321655,328.759643554687,428.146240234375,47.8778733169666,18.9510321755589,6.40939950942993,0,0,0,40,13.9968662261963,1,6,1,2.05276489257813,38.1231689453125,,,,,,,,,,,,,,,,
,3981436319.485,14.0013108253479,477.887939453125,8.14995643410929E-5,1.15749835855044E-6,1,0.999253354069792,40.0298881530762,1.97326506781741,15.4499998316169,0.000401935789647897,7.48701356486196E-5,0.25,-1.35157340573803E-6,7.57873763921245E-5,2.23425505180215E-7,14.0012950897217,14.0012950897217,428.146240234375,527.629638671875,48.5063026464282,18.9510330628807,6.41021966934204,0,0,0,40,13.9970769882202,1,6,1,2.06512451171875,38.6119270324707,,,,,,,,,,,,,,,,
,3981436320.461,14.0013284683228,572.496643066406,0.000105239101745474,1.10400464092121E-6,1,0.999253354069792,40.0298881530762,1.97326857783655,15.4499998316169,0.000517530544720463,0.000103999919672735,0.25,-2.58288285664209E-7,9.78371007799801E-5,1.67295312766664E-6,14.0013265609741,14.0013265609741,527.629638671875,617.363647460937,47.6011768211589,18.9525022222926,6.40973138809204,0,0,0,40,13.9969959259033,1,6,1,2.06451416015625,38.1231689453125,,,,,,,,,,,,,,,,
,3981436321.4565,14.0013675689697,672.259338378906,0.000128439471049301,1.0538871737322E-6,1,0.999253354069792,40.0298881530762,1.97322052573797,15.4499998316169,0.000631315726724746,0.00012839581948624,0.25,-1.91532705178853E-8,0.000119401691091793,2.31984884072901E-6,14.0013303756714,14.0013303756714,617.363647460937,727.155029296875,47.696535500505,18.952243900571,6.41022825241089,0,0,0,40,13.9968929290771,1,6,1,2.07168579101562,38.1231689453125,,,,,,,,,,,,,,,,
,3981436322.4605,14.0014586448669,771.992645263672,0.000151347682978856,1.18975091190934E-6,1,0.999253354069792,40.0298881530762,1.97332919043723,15.4499998316169,0.000744118284288763,0.000150554097988341,0.25,-1.79269272982449E-7,0.000140702502517601,2.59139340781501E-6,14.0014047622681,14.0014047622681,727.155029296875,816.830261230469,47.8966324014281,18.9516911061898,6.4100832939148,0,0,0,40,13.9970407485962,1,6,1,2.06161499023438,37.6344108581543,,,,,,,,,,,,,,,,
