[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981296315.78124,02/26/2026,7:40 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981296449.91,300.073257446289,999.890625,2.66983439651738E-5,8.05784561669281E-7,1,0.999253354069792,40.0298881530762,1.99737993664408,15.0800002738833,0.000143580859714086,2.49118669949393E-5,0.25,-3.55667905220835E-7,2.66946793431169E-5,-2.51506264013396E-7,300.073547363281,300.073547363281,999.890625,999.890625,47.5738198229858,18.9758601732755,21.2501621246338,0,0,0,40,300.622222900391,1,4,1,2.07412719726562,45.4545478820801,,,,,,,,,,,,,,,,
,3981296453.648,300.077301025391,999.926513671875,2.7436528638933E-5,7.56383814540434E-7,1,0.999253354069792,40.0298881530762,1.9974839809569,15.0800002738833,0.00014893096304518,1.82710238733995E-5,0.25,-1.73199081575242E-6,2.74380863671405E-5,-1.62469213088246E-6,300.077301025391,300.077301025391,999.926513671875,999.926513671875,47.6597989601012,18.9765894876922,21.2536678314209,0,0,0,40,300.615447998047,6,4,1,2.07672119140625,43.49951171875,,,,,,,,,,,,,,,,
,3981296454.022,300.078277587891,999.899597167969,2.77297572606498E-5,9.43093136399323E-7,1,0.999253354069792,40.0298881530762,1.99742149059963,15.0800002738833,0.000149302614697797,2.49566047361507E-5,0.25,-5.40560414911963E-7,2.77266132738614E-5,-4.3234447317529E-7,300.077301025391,300.077301025391,999.872680664062,999.926513671875,47.9693238537166,18.9742262943853,21.2549419403076,0,0,0,40,300.613677978516,6,4,1,2.07717895507813,45.4545478820801,,,,,,,,,,,,,,,,
,3981296454.9025,300.079345703125,999.899597167969,2.749212781102E-5,8.20439080042485E-7,1,0.999253354069792,40.0298881530762,1.99749047016156,15.0800002738833,0.000149282049367668,1.80473793892587E-5,0.25,-1.78409925225063E-6,2.74938760754378E-5,-1.6765746693198E-6,300.079254150391,300.079254150391,999.872680664062,999.926513671875,47.3752861791012,18.9749435312647,21.2569198608398,0,0,0,40,300.6142578125,6,4,1,2.07595825195313,45.4545478820801,,,,,,,,,,,,,,,,
,3981296455.919,300.080230712891,999.944427490234,2.83594025673402E-5,7.91226845141431E-7,1,0.999253354069792,40.0298881530762,1.99753407825814,15.0800002738833,0.000153892921405107,1.91601194345715E-5,0.25,-1.73916405260393E-6,2.83608104215625E-5,-1.6282669747304E-6,300.079437255859,300.079437255859,999.926513671875,999.962341308594,47.5105079129281,18.9738806906806,21.2512054443359,0,0,0,40,300.603118896484,6,4,1,2.07534790039062,45.9433059692383,,,,,,,,,,,,,,,,
,3981296456.898,300.081283569336,999.935455322266,2.95195085262919E-5,1.03169131577002E-6,1,0.999253354069792,40.0298881530762,1.99759931988704,15.0800002738833,0.000160530396798243,1.81445796564943E-5,0.25,-2.14580338347738E-6,2.95222808345246E-5,-2.03030664820098E-6,300.081024169922,300.081024169922,999.908569335938,999.962341308594,47.8442632906397,18.9710679457758,21.2547378540039,0,0,0,40,300.521667480469,6,4,1,2.07138061523438,45.9433059692383,,,,,,,,,,,,,,,,
,3981296457.8765,300.081878662109,999.890625,2.76010511542466E-5,8.13850348162548E-7,1,0.999253354069792,40.0298881530762,1.997592569805,15.0800002738833,0.000149691428259233,1.91317665862402E-5,0.25,-1.60254168090556E-6,2.7602068324424E-5,-1.49462775639682E-6,300.08154296875,300.08154296875,999.872680664062,999.908569335938,47.3494924379666,18.9738281456401,21.2567958831787,0,0,0,40,300.431091308594,6,4,1,2.09991455078125,46.4320640563965,,,,,,,,,,,,,,,,
,3981296458.886,300.082534790039,999.872680664062,2.82870168482783E-5,8.24672624747551E-7,1,0.999253354069792,40.0298881530762,1.99763003034151,15.0800002738833,0.000151386722959889,3.04362722079417E-5,0.25,3.75961006682051E-7,2.82801896161549E-5,4.86174104891292E-7,300.082214355469,300.082214355469,999.872680664062,999.872680664062,47.7895492942935,18.9742505507458,21.2548332214355,0,0,0,40,300.355651855469,6,4,1,2.07382202148438,45.4545478820801,,,,,,,,,,,,,,,,
,3981296459.9125,300.083557128906,999.899597167969,2.75625119065409E-5,8.97144238615738E-7,1,0.999253354069792,40.0298881530762,1.99758565817196,15.0800002738833,0.000149379919338944,1.9649600802508E-5,0.25,-1.49879196589261E-6,2.75631301640842E-5,-1.39104858686003E-6,300.082855224609,300.082855224609,999.872680664062,999.926513671875,47.7481229827743,18.9740192378593,21.2526206970215,0,0,0,40,300.280609130859,6,4,1,2.0733642578125,45.4545478820801,,,,,,,,,,,,,,,,
,3981296460.9115,300.084915161133,999.926513671875,2.7710988950483E-5,1.07553219554927E-6,1,0.999253354069792,40.0298881530762,1.99758742154454,15.0800002738833,0.000150547499958797,1.7818242660452E-5,0.25,-1.86794756000485E-6,2.7713016898029E-5,-1.75955581704271E-6,300.084259033203,300.084259033203,999.926513671875,999.926513671875,47.7317087838704,18.9747972979525,21.2600250244141,0,0,0,40,300.206176757812,6,4,1,2.07275390625,45.9433059692383,,,,,,,,,,,,,,,,
