[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981389057.67321,02/27/2026,9:26 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981389191.9365,300.077133178711,119999.66796875,0.00340715125515362,6.18711718756475E-6,1,0.999253354069792,40.0298881530762,1.99689429261671,15.2300000190735,0.0182701625073226,0.00343966376907563,0.25,3.54672120228255E-6,0.00340651427591532,1.66013884374489E-5,300.076995849609,300.076995849609,119999.640625,119999.6953125,46.4975173520049,18.9494772113114,21.2141456604004,0,0,0,40,300.611206054687,1,4,1,2.07611083984375,45.9433059692383,,,,,,,,,,,,,,,,
,3981389195.6985,300.079711914063,119999.6640625,0.0034017228193651,5.71495085580588E-6,1,0.999253354069792,40.0298881530762,1.99697371365122,15.2300000190735,0.0182442141930373,0.00342118806898945,0.25,1.0935958316929E-6,0.00340109591372737,1.41277801877086E-5,300.079711914063,300.079711914063,119999.6640625,119999.6640625,46.9016192964473,18.946908432707,21.215202331543,0,0,0,40,300.602661132812,6,4,1,2.07183837890625,46.9208221435547,,,,,,,,,,,,,,,,
,3981389196.0875,300.080993652344,119999.64453125,0.003409827330227,7.79902166909303E-6,1,0.999253354069792,40.0298881530762,1.99696425636274,15.2300000190735,0.0183016952018462,0.00335399981697581,0.25,-1.29473320862433E-5,0.00340925258224268,1.2041189483966E-7,300.079711914063,300.079711914063,119999.625,119999.6640625,46.6780735399472,18.9490990005007,21.2150764465332,0,0,0,40,300.600860595703,6,4,1,2.07504272460938,46.9208221435547,,,,,,,,,,,,,,,,
,3981389196.9615,300.082015991211,119999.60546875,0.00340992605469705,6.23513114528554E-6,1,0.999253354069792,40.0298881530762,1.99691663618946,15.2300000190735,0.0182936402595759,0.00339761186384848,0.25,-4.81983190232313E-6,0.00340932001963147,8.24675027149005E-6,300.082275390625,300.082275390625,119999.5859375,119999.625,46.995414718755,18.950101520392,21.2209777832031,0,0,0,40,300.601043701172,6,4,1,2.07305908203125,46.4320640563965,,,,,,,,,,,,,,,,
,3981389197.9445,300.082550048828,119999.60546875,0.00340454572251932,6.94093172926226E-6,1,0.999253354069792,40.0298881530762,1.9968869813519,15.2300000190735,0.0182632872681999,0.00339874388143361,0.25,-3.59244649428833E-6,0.00340393590366097,9.45326811646476E-6,300.081756591797,300.081756591797,119999.5859375,119999.625,46.8852050975434,18.949845783028,21.2227401733398,0,0,0,40,300.592102050781,6,4,1,2.07611083984375,47.4095802307129,,,,,,,,,,,,,,,,
,3981389198.944,300.083709716797,119999.59765625,0.00340904719992504,6.56103270193391E-6,1,0.999253354069792,40.0298881530762,1.99699341331919,15.2300000190735,0.0182938799801718,0.00337403817534145,0.25,-9.07398252229507E-6,0.0034084574158407,3.98992546617638E-6,300.083343505859,300.083343505859,119999.5703125,119999.625,46.3833995881972,18.9513142172231,21.2181644439697,0,0,0,40,300.552551269531,6,4,1,2.06939697265625,46.4320640563965,,,,,,,,,,,,,,,,
,3981389199.9595,300.08464050293,119999.625,0.00340919428332717,6.92499869338734E-6,1,0.999253354069792,40.0298881530762,1.99694641887027,15.2300000190735,0.018283190535386,0.00343319012999584,0.25,1.94159270827249E-6,0.00340856214906138,1.50039985555639E-5,300.084075927734,300.084075927734,119999.5703125,119999.6796875,46.9078723246011,18.9520846010713,21.2228775024414,0,0,0,40,300.440124511719,6,4,1,2.0733642578125,46.4320640563965,,,,,,,,,,,,,,,,
,3981389200.943,300.085540771484,119999.6796875,0.00340883350354149,5.87106276747689E-6,1,0.999253354069792,40.0298881530762,1.99691508406289,15.2300000190735,0.0182835810304785,0.00341885984962059,0.25,-6.52914052856099E-7,0.00340821126483334,1.24085388106974E-5,300.085205078125,300.085205078125,119999.6796875,119999.6796875,46.8687908986396,18.9488764003767,21.219310760498,0,0,0,40,300.362670898438,6,4,1,2.07351684570313,49.364616394043,,,,,,,,,,,,,,,,
,3981389201.9115,300.086120605469,119999.65234375,0.00340891623756582,7.51806405311061E-6,1,0.999253354069792,40.0298881530762,1.9969463222409,15.2300000190735,0.0182860779366657,0.00340950892775999,0.25,-2.42149055240458E-6,0.00340830068820246,1.06405739807964E-5,300.085876464844,300.085876464844,119999.625,119999.6796875,47.3190089257165,18.9530348497319,21.2241344451904,0,0,0,40,300.265594482422,6,4,1,2.07183837890625,46.9208221435547,,,,,,,,,,,,,,,,
,3981389202.911,300.086547851562,119999.60546875,0.00340630416775461,5.61513871710085E-6,1,0.999253354069792,40.0298881530762,1.99697180423986,15.2300000190735,0.018268057607736,0.00342956251085484,0.25,1.79847776791265E-6,0.00340567287492449,1.48497386951927E-5,300.086364746094,300.086364746094,119999.5859375,119999.625,47.3440210383319,18.9505091238285,21.2214851379395,0,0,0,40,300.185821533203,6,4,1,2.0709228515625,46.9208221435547,,,,,,,,,,,,,,,,
