[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981350261.05082,02/27/2026,10:39 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981350394.384,300.076202392578,80000.36328125,0.00228600272399213,5.49534499956041E-6,1,0.999253354069792,40.0298881530762,1.99701663832984,15.1500003412366,0.012260618438435,0.00229893315017642,0.25,6.40036963995524E-7,0.00228557653051481,9.45797912401998E-6,300.075744628906,300.075744628906,80000.3359375,80000.390625,47.1298548240627,18.9628348868036,21.2666683197021,0,0,0,40,300.612213134766,1,4,1,2.076416015625,46.9208221435547,,,,,,,,,,,,,,,,
,3981350398.1585,300.083221435547,80000.3125,0.00228240142363335,4.95098731169594E-6,1,0.999253354069792,40.0298881530762,1.99694566664732,15.1500003412366,0.0122429566035531,0.00228412675491542,0.25,-1.43120799854322E-6,0.00228198330436224,7.37298354999041E-6,300.083221435547,300.083221435547,80000.3125,80000.3125,47.3346414961012,18.9628239032178,21.2724609375,0,0,0,40,300.604278564453,6,4,1,2.07504272460938,46.4320640563965,,,,,,,,,,,,,,,,
,3981350398.534,300.082717895508,80000.34375,0.00227716827682784,4.86149846456943E-6,1,0.999253354069792,40.0298881530762,1.9970076415536,15.1500003412366,0.012208489980154,0.00231508907663387,0.25,5.30832721116411E-6,0.00227672517410186,1.4091099428027E-5,300.083221435547,300.083221435547,80000.3125,80000.375,47.2924335560627,18.9659777258801,21.2760562896729,0,0,0,40,300.602478027344,6,4,1,2.07183837890625,46.9208221435547,,,,,,,,,,,,,,,,
,3981350399.397,300.083236694336,80000.35546875,0.0022812518956351,4.82683898835314E-6,1,0.999253354069792,40.0298881530762,1.99697548992208,15.1500003412366,0.012239858553917,0.00226756985405782,0.25,-4.3091261825782E-6,0.0022808450894855,4.49116486995491E-6,300.082214355469,300.082214355469,80000.3359375,80000.375,47.2377195597165,18.9628933560842,21.2733097076416,0,0,0,40,300.599517822266,6,4,1,2.07672119140625,46.4320640563965,,,,,,,,,,,,,,,,
,3981350400.3665,300.083984375,80000.3125,0.0022826445341421,5.14616686972865E-6,1,0.999253354069792,40.0298881530762,1.99701321731463,15.1500003412366,0.0122427131312605,0.00229485887792943,0.25,5.10231715737383E-7,0.00228221881766585,9.31497420582317E-6,300.084259033203,300.084259033203,80000.2890625,80000.3359375,47.3666882653896,18.9651488120562,21.2758407592773,0,0,0,40,300.578033447266,6,4,1,2.07504272460938,44.4770278930664,,,,,,,,,,,,,,,,
,3981350401.35,300.084945678711,80000.3046875,0.00227920992942198,4.42367511031354E-6,1,0.999253354069792,40.0298881530762,1.9970975434314,15.1500003412366,0.0122204464121444,0.00231471746221662,0.25,4.83804893105608E-6,0.00227876807722982,1.36287062930997E-5,300.083709716797,300.083709716797,80000.2890625,80000.3203125,47.4987834851396,18.9631385105638,21.2770404815674,0,0,0,40,300.480712890625,6,4,1,2.07473754882813,43.9882698059082,,,,,,,,,,,,,,,,
,3981350402.36,300.086532592773,80000.35546875,0.0022825587970383,5.52523836846002E-6,1,0.999253354069792,40.0298881530762,1.99712279526043,15.1500003412366,0.0122495621103581,0.00225933538224815,0.25,-6.11909812217507E-6,0.00228215845593977,2.68645650963534E-6,300.086181640625,300.086181640625,80000.3203125,80000.390625,46.8132952737742,18.9641733641838,21.2766857147217,0,0,0,40,300.404052734375,6,4,1,2.07077026367187,44.4770278930664,,,,,,,,,,,,,,,,
,3981350403.3635,300.08659362793,80000.35546875,0.00228246923053126,4.81640306981088E-6,1,0.999253354069792,40.0298881530762,1.99713882597772,15.1500003412366,0.0122467566521744,0.00227219220149186,0.25,-3.70871432768526E-6,0.0022820596035245,5.09604503078915E-6,300.086883544922,300.086883544922,80000.3203125,80000.390625,47.0470022010242,18.9638489799219,21.2761535644531,0,0,0,40,300.297637939453,6,4,1,2.07504272460938,46.4320640563965,,,,,,,,,,,,,,,,
,3981350404.369,300.086715698242,80000.35546875,0.00227958897852552,4.54153586522411E-6,1,0.999253354069792,40.0298881530762,1.99703092271676,15.1500003412366,0.0122264485540043,0.0022917025718712,0.25,4.90268661114802E-7,0.00227916367980078,9.28313402543979E-6,300.086303710937,300.086303710937,80000.3203125,80000.390625,47.1079692255242,18.964406460326,21.2791900634766,0,0,0,40,300.222015380859,6,4,1,2.076416015625,47.8983383178711,,,,,,,,,,,,,,,,
,3981350405.444,300.08642578125,80000.375,0.00227939135154032,5.30996423960879E-6,1,0.999253354069792,40.0298881530762,1.99703987995174,15.1500003412366,0.0122235247171391,0.00230175495287861,0.25,2.39954724293004E-6,0.00227895874898066,1.11913057143974E-5,300.087127685547,300.087127685547,80000.359375,80000.390625,47.1533036796396,18.9634809445257,21.2811050415039,0,0,0,40,300.148590087891,6,4,1,2.0745849609375,46.4320640563965,,,,,,,,,,,,,,,,
