[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981290332.11614,02/26/2026,6:00 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981290523.27,2.00021958351135,999.43310546875,0.000178356115123834,4.5759237733725E-7,1,0.999253354069792,40.0298881530762,1.97552427213313,13.4699996560812,0.000877389419958126,0.000180103546372795,0.25,2.83032326079373E-7,0.000165809212797054,3.52306916293575E-6,2.00035548210144,2.00035548210144,999.406188964844,999.460021972656,47.1798790492935,18.9033378249741,2.88636779785156,0,0,0,40,1.98950743675232,1,4,1,2.04879760742187,37.6344108581543,,,,,,,,,,,,,,,,
,3981290527.1255,2.00208044052124,999.442077636719,0.000179114578984984,4.55773494099387E-7,1,0.999253354069792,40.0298881530762,1.97556485004851,13.4699996560812,0.000880885326377346,0.00018211467969892,0.25,5.36546969447239E-7,0.000166509709333794,3.77262041447797E-6,2.00208044052124,2.00208044052124,999.442077636719,999.442077636719,47.608211477832,18.9055897819779,2.88767528533936,0,0,0,40,2.00249171257019,6,4,1,2.05184936523438,38.1231689453125,,,,,,,,,,,,,,,,
,3981290527.432,2.00581002235413,999.442077636719,0.000179536025847045,4.08423636826651E-7,1,0.999253354069792,40.0298881530762,1.97556485004851,13.4699996560812,0.000883518989099548,0.000179788108565324,0.25,-2.20517898619894E-8,0.000166911730929844,3.26100455013051E-6,2.00208044052124,2.00208044052124,999.442077636719,999.442077636719,47.1423608803704,18.9055897819779,2.89008116722107,0,0,0,40,2.00766706466675,6,4,1,2.06634521484375,38.1231689453125,,,,,,,,,,,,,,,,
,3981290528.2375,2.01434636116028,999.477966308594,0.000179320505807796,3.83890807954989E-7,1,0.999253354069792,40.0298881530762,1.97540316605062,13.4699996560812,0.000881658703998795,0.000183140426963959,0.25,7.06019668965966E-7,0.000166698059983091,3.93394152143594E-6,2.00953960418701,2.00953960418701,999.442077636719,999.513854980469,47.1634648503896,18.9080639235794,2.89601230621338,0,0,0,40,2.04761385917664,6,4,1,2.05917358398438,37.6344108581543,,,,,,,,,,,,,,,,
,3981290529.2355,2.03423273563385,999.451049804687,0.000179272875430366,4.64128060859803E-7,1,0.999253354069792,40.0298881530762,1.97544997397181,13.4699996560812,0.000881703586391592,0.00018182526614949,0.25,4.47591527255062E-7,0.000166658503537848,3.69281393340279E-6,2.01915311813354,2.01915311813354,999.388244628906,999.513854980469,47.3338598675819,18.9024878247091,2.91045546531677,0,0,0,40,2.08028960227966,6,4,1,2.06573486328125,38.1231689453125,,,,,,,,,,,,,,,,
,3981290530.2545,2.06978559494019,999.424133300781,0.000179285217786935,4.44494413414143E-7,1,0.999253354069792,40.0298881530762,1.975204304578,13.4699996560812,0.000882135647371601,0.000179468286218123,0.25,-2.94996384929939E-8,0.000166678700618033,3.24949555170362E-6,2.04931235313416,2.04931235313416,999.388244628906,999.460021972656,47.3635617513127,18.9036012443484,2.92289233207703,0,0,0,40,2.11961793899536,6,4,1,2.06466674804687,38.6119270324707,,,,,,,,,,,,,,,,
,3981290531.2495,2.10157024860382,999.415161132813,0.000178983397120893,3.9971367518063E-7,1,0.999253354069792,40.0298881530762,1.97568804993089,13.4699996560812,0.000880197986873151,0.000182461935772087,0.25,6.31574988364478E-7,0.000166386023087825,3.85856752709705E-6,2.09025883674622,2.09025883674622,999.370300292969,999.460021972656,47.259605158255,18.9007101248058,2.94262909889221,0,0,0,40,2.14901781082153,2,4,1,2.06146240234375,38.1231689453125,,,,,,,,,,,,,,,,
,3981290532.229,2.13304615020752,999.397216796875,0.000179195212374325,4.74607069118796E-7,1,0.999253354069792,40.0298881530762,1.9756467607861,13.4699996560812,0.000880768967213682,0.000184897807774808,0.25,1.08417462466006E-6,0.000166574673588244,4.2832118454392E-6,2.11288166046143,2.11288166046143,999.370300292969,999.424133300781,47.5495893388896,18.9021542635754,2.95560050010681,0,0,0,40,2.17307472229004,2,4,1,2.05718994140625,38.1231689453125,,,,,,,,,,,,,,,,
,3981290533.254,2.16138327121735,999.442077636719,0.000179066761187247,3.49973982582454E-7,1,0.999253354069792,40.0298881530762,1.97559424230029,13.4699996560812,0.000880727061720608,0.000181753961526137,0.25,4.72444351894297E-7,0.000166466439188613,3.71215169712381E-6,2.15321063995361,2.15321063995361,999.424133300781,999.460021972656,47.3221354397935,18.9011318514994,2.97325944900513,0,0,0,40,2.19292807579041,2,4,1,2.06527709960938,38.1231689453125,,,,,,,,,,,,,,,,
,3981290534.2455,2.18476521968842,999.442077636719,0.000179176483357781,4.92235983177384E-7,1,0.999253354069792,40.0298881530762,1.97551825152684,13.4699996560812,0.000881506125668801,0.000180520924782328,0.25,2.00912181094569E-7,0.000166573410745598,3.46171874047163E-6,2.16955590248108,2.16955590248108,999.424133300781,999.460021972656,47.0837387414281,18.9015685438772,2.98368740081787,0,0,0,40,2.20729732513428,2,4,1,2.05535888671875,38.6119270324707,,,,,,,,,,,,,,,,
