[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981383075.19556,02/27/2026,7:46 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981383267.279,2.00029587745666,119999.5078125,0.0375374879339278,3.86138621870525E-6,1,0.999253354069792,40.0298881530762,1.99747008739486,14.8600004613399,0.19394101997952,0.0456271188083826,2.5,0.000295142331089857,0.0364723922412581,0.0018195062208769,2.00055146217346,2.00055146217346,119999.4296875,119999.5859375,47.5323935114666,18.920618326246,2.78811883926392,0,0,0,40,1.91131687164307,1,4,1,2.069091796875,38.6119270324707,,,,,,,,,,,,,,,,
,3981383271.019,1.9997490644455,119999.375,0.0375418609161191,5.93653677316422E-6,1,0.999253354069792,40.0298881530762,1.9973091353334,14.8600004613399,0.193939095172755,0.0456699389965108,2.5,0.000303113817178948,0.0364763154528212,0.00182743282690157,1.9997490644455,1.9997490644455,119999.375,119999.375,47.1204752818319,18.9185805564291,2.78716015815735,0,0,0,40,1.9127984046936,6,4,1,2.06954956054687,38.6119270324707,,,,,,,,,,,,,,,,
,3981383271.403,2.00079661607742,119999.375,0.0375389299455311,4.79345801091744E-6,1,0.999253354069792,40.0298881530762,1.99732463394502,14.8600004613399,0.193936070833719,0.0456197767296661,2.5,0.000294020236203042,0.0364738380137354,0.0018184746804045,1.9997490644455,1.9997490644455,119999.375,119999.375,47.4706448584473,18.9182112792266,2.78810930252075,0,0,0,40,1.92298126220703,6,4,1,2.06649780273438,39.1006851196289,,,,,,,,,,,,,,,,
,3981383272.263,2.00889348983765,119999.390625,0.0375421373301787,5.1607208189785E-6,1,0.999253354069792,40.0298881530762,1.99735926837513,14.8600004613399,0.193965804168347,0.0455808559145222,2.5,0.00028562353968959,0.0364772986018912,0.00181044447897801,2.00184416770935,2.00184416770935,119999.375,119999.40625,47.9466566266589,18.9204138505024,2.79314303398132,0,0,0,40,1.94838237762451,6,4,1,2.06939697265625,39.1006851196289,,,,,,,,,,,,,,,,
,3981383273.251,2.02284073829651,119999.37890625,0.0375382912513251,5.41761765238151E-6,1,0.999253354069792,40.0298881530762,1.99736679384281,14.8600004613399,0.193918390740767,0.0457008260686626,2.5,0.000309644302533304,0.0364725797843347,0.00183363437954214,2.01594281196594,2.01594281196594,119999.3515625,119999.40625,47.3268252109089,18.920748339982,2.8050332069397,0,0,0,40,1.98035848140717,6,4,1,2.07015991210938,39.1006851196289,,,,,,,,,,,,,,,,
,3981383274.282,2.04721355438232,119999.34375,0.0375399244634632,5.10506172531682E-6,1,0.999253354069792,40.0298881530762,1.99731261791146,14.8600004613399,0.193945409114169,0.0455972316386115,2.5,0.000289489660298019,0.0364749901260133,0.00181411189862733,2.02973866462708,2.02973866462708,119999.3359375,119999.3515625,47.5105079129281,18.9170894899058,2.81675910949707,0,0,0,40,2.01255798339844,6,4,1,2.071533203125,39.1006851196289,,,,,,,,,,,,,,,,
,3981383275.297,2.07400441169739,119999.328125,0.0375305369659654,4.93834747258386E-6,1,0.999253354069792,40.0298881530762,1.99737869388831,14.8600004613399,0.193905773361614,0.0455757104629894,2.5,0.000287178948244173,0.0364659606380913,0.00181148276928876,2.06468844413757,2.06468844413757,119999.3203125,119999.3359375,47.6652703597358,18.9214699862503,2.83592629432678,0,0,0,40,2.04325079917908,6,4,1,2.07229614257813,37.6344108581543,,,,,,,,,,,,,,,,
,3981383276.294,2.10466337203979,119999.35546875,0.0375440979448862,6.42276489479374E-6,1,0.999253354069792,40.0298881530762,1.99722996719859,14.8600004613399,0.193952116586043,0.0456315820035233,2.5,0.000295533797577508,0.0364788009624598,0.00182015691650819,2.0833203792572,2.0833203792572,119999.3203125,119999.390625,47.5448995677743,18.9208140665665,2.8491051197052,0,0,0,40,2.09081482887268,2,4,1,2.09884643554687,38.6119270324707,,,,,,,,,,,,,,,,
,3981383277.2925,2.13641571998596,119999.3359375,0.0375367398362719,4.74286822245228E-6,1,0.999253354069792,40.0298881530762,1.9973305222553,14.8600004613399,0.19392659770241,0.0456116309224841,2.5,0.000292917592050714,0.0364717564324743,0.00181731373258621,2.12600636482239,2.12600636482239,119999.28125,119999.390625,47.6003951926396,18.9151494094887,2.86195373535156,0,0,0,40,2.11472368240356,2,4,1,2.06787109375,39.1006851196289,,,,,,,,,,,,,,,,
,3981383278.2955,2.16214716434479,119999.27734375,0.0375403087131461,5.83863901692044E-6,1,0.999253354069792,40.0298881530762,1.99745845724783,14.8600004613399,0.193954181197645,0.0456316846838088,2.5,0.000295433542635502,0.0364751222164056,0.00181990492965271,2.14682507514954,2.14682507514954,119999.2734375,119999.28125,47.7192027275627,18.9217646931409,2.88032865524292,0,0,0,40,2.13760232925415,2,4,1,2.06863403320313,39.5894432067871,,,,,,,,,,,,,,,,
