[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981344277.12448,02/27/2026,8:59 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981344469.7465,2.00103139877319,79999.3515625,0.026909925517941,5.67504946717685E-6,1,0.999253354069792,40.0298881530762,1.99705189771451,14.8200001567602,0.136902150525245,0.0320696694555974,2.5,0.000189835941929171,0.0257463763636218,0.00125970030579479,2.00109791755676,2.00109791755676,79999.3515625,79999.3515625,47.6230624196974,18.9224694868373,2.91709136962891,0,0,0,40,1.93160164356232,1,4,1,2.06924438476562,39.1006851196289,,,,,,,,,,,,,,,,
,3981344473.5295,1.99937808513641,79999.3359375,0.0269124164762112,5.38407843319825E-6,1,0.999253354069792,40.0298881530762,1.99723036271803,14.8200001567602,0.1369240773231,0.0320870295650087,2.5,0.000192131206446742,0.0257486681749781,0.00126199671951415,1.99937808513641,1.99937808513641,79999.3359375,79999.3359375,47.8450449191589,18.9258877554822,2.91555666923523,0,0,0,40,1.93070888519287,6,4,1,2.0745849609375,39.5894432067871,,,,,,,,,,,,,,,,
,3981344473.885,1.99957287311554,79999.36328125,0.0269131799378214,5.04233859685551E-6,1,0.999253354069792,40.0298881530762,1.99725291547326,14.8200001567602,0.136935166646282,0.0320631578625554,2.5,0.000187204484798305,0.0257495965135321,0.00125731228961693,1.99937808513641,1.99937808513641,79999.3359375,79999.390625,46.9836902909665,18.9303151703019,2.91500926017761,0,0,0,40,1.93061053752899,6,4,1,2.07427978515625,38.6119270324707,,,,,,,,,,,,,,,,
,3981344474.7505,2.00074237585068,79999.3984375,0.0269137384697815,4.40525513168994E-6,1,0.999253354069792,40.0298881530762,1.99730208087506,14.8200001567602,0.136939357063293,0.0320730943759083,2.5,0.000188876926477484,0.0257500644612965,0.00125893536143752,1.99976766109467,1.99976766109467,79999.390625,79999.40625,48.0545213623128,18.9277653613899,2.91687178611755,0,0,0,40,1.94391477108002,6,4,1,2.09091186523438,40.5669593811035,,,,,,,,,,,,,,,,
,3981344475.758,2.00806832313538,79999.328125,0.0269100497705431,6.39921630636335E-6,1,0.999253354069792,40.0298881530762,1.99718425405243,14.8200001567602,0.136914869729829,0.0320574565889867,2.5,0.000187005996309083,0.0257466084831663,0.00125699684186184,2.00171709060669,2.00171709060669,79999.25,79999.40625,47.2103625615435,18.9249295163348,2.92176342010498,0,0,0,40,1.97329354286194,6,4,1,2.07550048828125,39.1006851196289,,,,,,,,,,,,,,,,
,3981344476.738,2.02729606628418,79999.23046875,0.0269124810934215,4.86030818965499E-6,1,0.999253354069792,40.0298881530762,1.99705848856504,14.8200001567602,0.136912931949823,0.0320845155979545,2.5,0.000192150143452442,0.0257487284665857,0.00126201716243633,2.01441955566406,2.01441955566406,79999.2109375,79999.25,47.8856896021589,18.9235905554482,2.92999267578125,0,0,0,40,1.99792003631592,6,4,1,2.07061767578125,39.1006851196289,,,,,,,,,,,,,,,,
,3981344477.7145,2.04807126522064,79999.25,0.0269127116499655,5.96841796379337E-6,1,0.999253354069792,40.0298881530762,1.99718874213175,14.8200001567602,0.136926382039846,0.0320709615407643,2.5,0.000189038897121156,0.0257490742530612,0.00125904886619109,2.0401725769043,2.0401725769043,79999.2109375,79999.2890625,47.8755284314089,18.9243033039643,2.93952941894531,0,0,0,40,2.02572131156921,6,4,1,2.07321166992187,39.1006851196289,,,,,,,,,,,,,,,,
,3981344478.7085,2.07557475566864,79999.4921875,0.0269175774201022,4.66394446939588E-6,1,0.999253354069792,40.0298881530762,1.99709737767501,14.8200001567602,0.136949399698443,0.0320562372965193,2.5,0.00018532412020876,0.0257538828800446,0.00125568926377873,2.05596995353699,2.05596995353699,79999.2890625,79999.6953125,47.412022719505,18.9268235476996,2.95146989822388,0,0,0,40,2.05635595321655,2,4,1,2.071533203125,40.5669593811035,,,,,,,,,,,,,,,,
,3981344479.6995,2.10345423221588,79999.6953125,0.0269158968066926,5.27054653813229E-6,1,0.999253354069792,40.0298881530762,1.99714009581562,14.8200001567602,0.136944939222825,0.0320494828385925,2.5,0.000184247977752324,0.0257523201911963,0.0012545925937378,2.09517955780029,2.09517955780029,79999.6953125,79999.6953125,47.8427000336012,18.9230482073764,2.97055268287659,0,0,0,40,2.08132791519165,2,4,1,2.071533203125,39.5894432067871,,,,,,,,,,,,,,,,
,3981344480.692,2.12832510471344,79999.6875,0.0269272897531177,4.88472083431181E-6,1,0.999253354069792,40.0298881530762,1.99712276146815,14.8200001567602,0.137000525655947,0.0320681811014556,2.5,0.000185386176821423,0.0257631783812048,0.00125613829977297,2.11172890663147,2.11172890663147,79999.6796875,79999.6953125,47.645729646755,18.9252252639506,2.98939514160156,0,0,0,40,2.10335230827332,2,4,1,2.07626342773438,38.6119270324707,,,,,,,,,,,,,,,,
