[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981082998.61653,02/24/2026,8:25 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 9.34000033885241 mm,3981083139.1875,19.9999847412109,-0.502304315567017,-7.13635016211456E-6,5.27284405081666E-7,1,0.999253354069792,40.0298881530762,1.99629602705692,14.7399995476007,-3.41695914679969E-5,-1.36412501530977E-5,0.25,-1.29011800112379E-6,-6.61096676301758E-6,-1.33061595042506E-6,19.9999847412109,19.9999847412109,-0.502304315567017,-0.502304315567017,47.0860836269858,18.9404074113562,8.16117000579834,0,0,0,40,19.9874649047852,1,4,1,2.07656860351562,33.7243423461914,,,,,,,,,,,,,,,,
,3981083147.599,20.0009708404541,6.07400453090668,-7.28168336887314E-6,5.20510407422846E-7,1,0.999253354069792,40.0298881530762,1.9962253310507,14.7399995476007,-3.54248616579092E-5,-1.11670399158819E-5,0.25,-7.6287165160059E-7,-6.75577768881667E-6,-8.43110012493871E-7,20.0010166168213,20.0010166168213,-0.502304315567017,12.6503133773804,47.6410398756397,18.9424530406845,8.16201019287109,0,0,0,40,19.9873523712158,1,6,1,2.0721435546875,36.1681327819824,,,,,,,,,,,,,,,,
,3981083148.584,20.0010747909546,57.8049082756042,-3.61517222970058E-6,5.82150610366299E-7,1,0.999253354069792,40.0298881530762,1.99619561673502,14.7399995476007,-1.79626977142029E-5,-3.70181444155097E-6,0.25,-8.11593747248089E-9,-3.36089807489478E-6,-7.40288991668442E-8,20.0009250640869,20.0009250640869,12.6503133773804,102.959503173828,47.2127074471012,18.9377645071294,8.16253471374512,0,0,0,40,19.9873447418213,1,6,1,2.07382202148438,36.1681327819824,,,,,,,,,,,,,,,,
,3981083149.585,20.001166343689,151.2421875,1.54016152158878E-5,1.26879836742588E-6,1,0.999253354069792,40.0298881530762,1.996170363383,14.7399995476007,7.71620914605893E-5,1.26471307335226E-5,0.25,-5.9401929551952E-7,1.43300172310503E-5,-2.68808731997319E-7,20.0012245178223,20.0012245178223,102.959503173828,199.524871826172,47.4448511173127,18.9388886377517,8.16150665283203,0,0,0,40,19.9867706298828,1,6,1,2.07489013671875,36.6568908691406,,,,,,,,,,,,,,,,
,3981083150.5805,20.0010871887207,248.868438720703,4.23803575821922E-5,1.41517278866648E-6,1,0.999253354069792,40.0298881530762,1.99619337634023,14.7399995476007,0.000211225193574641,4.02239514726985E-5,0.25,-5.44540836401912E-7,3.94119708382354E-5,2.74442701466393E-7,20.0011081695557,20.0011081695557,199.524871826172,298.212005615234,47.2533521301012,18.9424368188193,8.1623067855835,0,0,0,40,19.9864406585693,1,6,1,2.07275390625,36.6568908691406,,,,,,,,,,,,,,,,
,3981083151.5665,20.001012802124,347.839233398438,7.19613571907119E-5,1.39178515955865E-6,1,0.999253354069792,40.0298881530762,1.99623766861925,14.7399995476007,0.000357404886007564,7.45073604518592E-5,0.25,3.22204766092697E-7,6.68987736185296E-5,1.62656086514313E-6,20.0010662078857,20.0010662078857,298.212005615234,397.466461181641,47.5824177366973,18.9425467453069,8.16230583190918,0,0,0,40,19.9866905212402,1,6,1,2.07595825195313,36.6568908691406,,,,,,,,,,,,,,,,
,3981083152.5945,20.0010023117065,452.147247314453,0.000102685280244709,1.50273926798798E-6,1,0.999253354069792,40.0298881530762,1.99629331460748,14.7399995476007,0.000510722503078676,0.000102869811080175,0.25,-2.37033211395208E-7,9.54751617803016E-5,1.67533874832011E-6,20.0009593963623,20.0009593963623,397.466461181641,506.828033447266,47.5886707648512,18.9401067625438,8.16230964660644,0,0,0,40,19.9865589141846,1,6,1,2.07427978515625,36.6568908691406,,,,,,,,,,,,,,,,
,3981083153.618,20.0009841918945,551.612869262695,0.000133567227656077,1.3806145864755E-6,1,0.999253354069792,40.0298881530762,1.9962184724361,14.7399995476007,0.000664533890374381,0.000132669884799572,0.25,-5.3943238234309E-7,0.000124194396169729,1.96710740275433E-6,20.0010452270508,20.0010452270508,506.828033447266,596.397705078125,47.8137797783897,18.9425224116635,8.16312694549561,0,0,0,40,19.9867572784424,1,6,1,2.07122802734375,37.6344108581543,,,,,,,,,,,,,,,,
,3981083154.6015,20.0010528564453,651.285369873047,0.000165327375952002,1.59370318193308E-6,1,0.999253354069792,40.0298881530762,1.99621372335875,14.7399995476007,0.000821761813193616,0.000168122003773987,0.25,1.13722742309588E-7,0.000153713202214313,3.16499081697766E-6,20.0009231567383,20.0009231567383,596.397705078125,706.173034667969,47.7793881235435,18.9422201074258,8.1625804901123,0,0,0,40,19.9862098693848,1,6,1,2.07473754882813,36.6568908691406,,,,,,,,,,,,,,,,
,3981083155.577,20.0012235641479,751.091796875,0.000197130493292493,1.51983257087691E-6,1,0.999253354069792,40.0298881530762,1.99624137805874,14.7399995476007,0.000978642808938418,0.000206463130867129,0.25,1.33682840764304E-6,0.000183262142215795,4.89513746192202E-6,20.0011825561523,20.0011825561523,706.173034667969,796.010559082031,47.7770432379858,18.9394100985048,8.16289710998535,0,0,0,40,19.9863414764404,1,6,1,2.07366943359375,37.6344108581543,,,,,,,,,,,,,,,,
