[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981040332.52999,02/23/2026,8:34 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981040469.8725,300.079788208008,999.477966308594,3.01210815044758E-5,7.75315423560018E-7,1,0.999253354069792,40.0298881530762,1.99889188898506,12.5500001013279,0.000161986740387203,2.87688420570895E-5,0.25,-2.81562177967377E-7,3.01164731923316E-5,-1.64072611295866E-7,300.078704833984,300.078704833984,999.442077636719,999.513854980469,47.2400644452742,18.9159337753432,20.7823219299316,0,0,0,40,300.612060546875,1,4,1,2.09197998046875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040473.6175,300.083618164063,999.513854980469,3.11227634828333E-5,1.11409109899782E-6,1,0.999253354069792,40.0298881530762,1.99894360547253,12.5500001013279,0.000168748431233919,2.24069553009007E-5,0.25,-1.65428786237778E-6,3.11233129754479E-5,-1.53263450967323E-6,300.083618164063,300.083618164063,999.513854980469,999.513854980469,47.7043517856974,18.9155269279296,20.786792755127,0,0,0,40,300.604522705078,6,4,1,2.066650390625,44.4770278930664,,,,,,,,,,,,,,,,
,3981040474.0055,300.084167480469,999.513854980469,2.84330832029536E-5,1.00200150606704E-6,1,0.999253354069792,40.0298881530762,1.99894360547253,12.5500001013279,0.000153500260644218,2.4019887486729E-5,0.25,-8.50183398084636E-7,2.84310070231934E-5,-7.3916908998125E-7,300.083618164063,300.083618164063,999.513854980469,999.513854980469,47.5597505096396,18.9155269279296,20.7911014556885,0,0,0,40,300.603515625,6,4,1,2.09075927734375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040474.8595,300.08528137207,999.522827148438,2.95278844738563E-5,1.03657355923384E-6,1,0.999253354069792,40.0298881530762,1.99900980909792,12.5500001013279,0.000158520307861411,2.97278528100873E-5,0.25,7.84338733757028E-9,2.95222543076689E-5,1.22962847039323E-7,300.084716796875,300.084716796875,999.513854980469,999.531799316406,47.5605321381589,18.9173435749888,20.7861366271973,0,0,0,40,300.594390869141,6,4,1,2.0703125,44.4770278930664,,,,,,,,,,,,,,,,
,3981040475.859,300.086242675781,999.558685302734,3.15458696149896E-5,9.39837763414375E-7,1,0.999253354069792,40.0298881530762,1.99896018084283,12.5500001013279,0.000169304329940448,3.20013476222247E-5,0.25,5.35702823379034E-8,3.15396773864152E-5,1.76548155593782E-7,300.085845947266,300.085845947266,999.531799316406,999.585571289063,47.5660035377935,18.9151636608475,20.7843379974365,0,0,0,40,300.558624267578,6,4,1,2.08984375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040476.8735,300.087173461914,999.549713134766,2.96430412783565E-5,7.87163290218605E-7,1,0.999253354069792,40.0298881530762,1.99898391967475,12.5500001013279,0.000158132311458522,3.52060645307504E-5,0.25,1.00674946448743E-6,2.96334928112795E-5,1.12212751734555E-6,300.086639404297,300.086639404297,999.513854980469,999.585571289063,47.5331751399858,18.9146090463832,20.787727355957,0,0,0,40,300.439849853516,6,4,1,2.069091796875,44.9657897949219,,,,,,,,,,,,,,,,
,3981040477.865,300.087997436523,999.531799316406,3.05220777174667E-5,9.70278850196711E-7,1,0.999253354069792,40.0298881530762,1.99900692736294,12.5500001013279,0.000165852862145228,2.00724514873732E-5,0.25,-1.97676162550663E-6,3.05239933388452E-5,-1.85739082337821E-6,300.087707519531,300.087707519531,999.513854980469,999.549743652344,47.6605805886204,18.9151000254967,20.7920761108398,0,0,0,40,300.343536376953,6,4,1,2.09304809570313,44.9657897949219,,,,,,,,,,,,,,,,
,3981040478.871,300.088241577148,999.531799316406,3.00563813342262E-5,9.29925143336602E-7,1,0.999253354069792,40.0298881530762,1.99895627988734,12.5500001013279,0.000162404800389729,2.46440372242167E-5,0.25,-1.03792588195242E-6,3.00547248265731E-5,-9.20548915577995E-7,300.088287353516,300.088287353516,999.513854980469,999.549743652344,47.6238440482166,18.9150376334347,20.7928943634033,0,0,0,40,300.269866943359,6,4,1,2.06817626953125,43.9882698059082,,,,,,,,,,,,,,,,
,3981040479.8415,300.088272094727,999.5048828125,2.93824409385469E-5,9.95607017699012E-7,1,0.999253354069792,40.0298881530762,1.99895268919199,12.5500001013279,0.000158538058315323,2.52926239181682E-5,0.25,-7.90905996003247E-7,2.93799492246653E-5,-6.76203386957547E-7,300.088195800781,300.088195800781,999.495910644531,999.513854980469,47.4980018566204,18.9142313239244,20.7881889343262,0,0,0,40,300.195648193359,6,4,1,2.09136962890625,43.9882698059082,,,,,,,,,,,,,,,,
,3981040480.835,300.088134765625,999.5048828125,3.06336556219742E-5,8.83733289298804E-7,1,0.999253354069792,40.0298881530762,1.9989216048337,12.5500001013279,0.000164126871300576,3.25630567318417E-5,0.25,3.2913304061757E-7,3.06265599810741E-5,4.48501271138756E-7,300.088348388672,300.088348388672,999.495910644531,999.513854980469,47.4620469447358,18.9158369377032,20.7876796722412,0,0,0,40,300.125427246094,6,4,1,2.07015991210938,44.9657897949219,,,,,,,,,,,,,,,,
,3981040481.8475,300.086700439453,999.5048828125,3.16042778925958E-5,8.47274264239669E-7,1,0.999253354069792,40.0298881530762,1.99900710433062,12.5500001013279,0.000169718978470432,3.15416725100658E-5,0.25,-4.31232062972386E-8,3.15984510390274E-5,8.01004999645097E-8,300.087921142578,300.087921142578,999.495910644531,999.513854980469,47.472989744005,18.9169908968849,20.7885684967041,0,0,0,40,300.004211425781,6,4,1,2.09152221679687,44.4770278930664,,,,,,,,,,,,,,,,
,3981040482.8575,300.084823608398,999.603546142578,2.99551691095671E-5,9.58588013291516E-7,1,0.999253354069792,40.0298881530762,1.99896685930777,12.5500001013279,0.000161988834951948,2.3866600990733E-5,0.25,-1.16380917190152E-6,2.99540263657767E-5,-1.04680146702994E-6,300.085479736328,300.085479736328,999.495910644531,999.711181640625,47.6504194178704,18.9158276714703,20.7914047241211,0,0,0,40,299.939392089844,6,4,1,2.06756591796875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040483.8475,300.082305908203,999.585601806641,2.96776668201065E-5,7.52859834357621E-7,1,0.999253354069792,40.0298881530762,1.99894428172307,12.5500001013279,0.00015910969370181,3.09973472839396E-5,0.25,2.1643670273416E-7,2.9671198200839E-5,3.32101960174873E-7,300.084167480469,300.084167480469,999.460021972656,999.711181640625,47.513634427005,18.9144872704527,20.7935352325439,0,0,0,40,299.859497070313,6,4,1,2.09182739257813,42.0332374572754,,,,,,,,,,,,,,,,
,3981040484.8375,300.076385498047,999.486938476563,2.99138886208122E-5,9.70783999616741E-7,1,0.999253354069792,40.0298881530762,1.99895660310083,12.5500001013279,0.000161915378406649,2.30297263524774E-5,0.25,-1.3119446627392E-6,2.99133405866829E-5,-1.1950662875785E-6,300.080444335937,300.080444335937,999.460021972656,999.513854980469,47.5191058266396,18.916013291953,20.7862892150879,0,0,0,40,299.796447753906,6,4,1,2.09243774414062,44.4770278930664,,,,,,,,,,,,,,,,
,3981040486.329,300.06559753418,999.558685302734,3.19789056433365E-5,1.0248910035148E-6,1,0.999253354069792,40.0298881530762,1.99902439850845,12.5500001013279,0.000173129120156388,2.44568259964772E-5,0.25,-1.43297190212845E-6,3.19784513140255E-5,-1.30801460616359E-6,300.072326660156,300.072326660156,999.513854980469,999.603515625,47.7739167239089,18.9152859991984,20.787633895874,0,0,0,40,299.676971435547,6,4,1,2.06771850585938,44.4770278930664,,,,,,,,,,,,,,,,
,3981040487.8395,300.056304931641,999.558685302734,3.04439084717688E-5,1.029664573013E-6,1,0.999253354069792,40.0298881530762,1.99899099380783,12.5500001013279,0.0001650316874256,2.2132046678058E-5,0.25,-1.57848534602263E-6,3.04443220038781E-5,-1.45948168778598E-6,300.058868408203,300.058868408203,999.513854980469,999.603515625,47.676213159005,18.9165604084291,20.7924251556396,0,0,0,40,299.575958251953,6,4,1,2.06802368164062,43.9882698059082,,,,,,,,,,,,,,,,
,3981040488.8465,300.048004150391,999.522827148438,3.1468024730421E-5,9.44925634210121E-7,1,0.999253354069792,40.0298881530762,1.99906099393705,12.5500001013279,0.000170299989368961,2.44213468227998E-5,0.25,-1.34400578040407E-6,3.14673405173575E-5,-1.22104948185698E-6,300.053741455078,300.053741455078,999.513854980469,999.531799316406,47.6433847611973,18.9162177749924,20.7890224456787,0,0,0,40,299.506286621094,6,4,1,2.09121704101562,43.9882698059082,,,,,,,,,,,,,,,,
,3981040489.8285,300.03955078125,999.513854980469,2.95622358077312E-5,8.90373992371039E-7,1,0.999253354069792,40.0298881530762,1.99898971563683,12.5500001013279,0.00015851838078899,3.07504319906978E-5,0.25,1.91904736293141E-7,2.95559305011571E-5,3.07144552119076E-7,300.042266845703,300.042266845703,999.495910644531,999.531799316406,47.5581872526012,18.9141241178184,20.7910690307617,0,0,0,40,299.451446533203,6,4,1,2.0684814453125,43.9882698059082,,,,,,,,,,,,,,,,
,3981040490.8365,300.028793334961,999.522827148438,3.11744996715707E-5,9.83484401880335E-7,1,0.999253354069792,40.0298881530762,1.99901601806202,12.5500001013279,0.000166615926313123,3.53646265438961E-5,0.25,7.49360873893272E-7,3.11657295948275E-5,8.7078831986728E-7,300.036834716797,300.036834716797,999.495910644531,999.549743652344,47.3799759502165,18.9147958373493,20.7931632995605,0,0,0,40,299.396820068359,6,4,1,2.06619262695313,44.4770278930664,,,,,,,,,,,,,,,,
,3981040491.8225,300.013656616211,999.558715820312,3.08763279702225E-5,9.63163455294256E-7,1,0.999253354069792,40.0298881530762,1.99898426203388,12.5500001013279,0.000167044995119119,2.42112390165191E-5,0.25,-1.27219336362821E-6,3.08755143535537E-5,-1.15154288604813E-6,300.020751953125,300.020751953125,999.549743652344,999.567687988281,47.4839325432743,18.9150066008824,20.7926158905029,0,0,0,40,299.343170166016,6,4,1,2.09075927734375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040492.8345,300.001708984375,1000.05206298828,3.02039689813371E-5,8.54946459977205E-7,1,0.999253354069792,40.0298881530762,1.99904230370854,12.5500001013279,0.000161840290140506,3.20785775852762E-5,0.25,3.18941774915688E-7,3.01970890089276E-5,4.36678313148641E-7,300.006561279297,300.006561279297,999.567687988281,1000.53643798828,47.3885738639281,18.9162460458373,20.7940006256104,0,0,0,40,299.252960205078,6,4,1,2.07015991210938,44.4770278930664,,,,,,,,,,,,,,,,
,3981040493.8285,299.988098144531,1000.02514648438,3.09434566486441E-5,1.02571772254488E-6,1,0.999253354069792,40.0298881530762,1.99901269917624,12.5500001013279,0.000165620316414772,3.382487761311E-5,0.25,5.05810986897276E-7,3.0935725087339E-5,6.26403472244722E-7,299.996856689453,299.996856689453,999.513854980469,1000.53643798828,47.5183241981204,18.9148555223259,20.7965831756592,0,0,0,40,299.200927734375,6,4,1,2.06954956054687,44.4770278930664,,,,,,,,,,,,,,,,
,3981040494.824,299.975494384766,999.5048828125,2.97870718712517E-5,8.45728179818584E-7,1,0.999253354069792,40.0298881530762,1.99901496678598,12.5500001013279,0.000161221262663735,2.30015541441108E-5,0.25,-1.29362865369807E-6,2.97865876432455E-5,-1.17720619637366E-6,299.979339599609,299.979339599609,999.495910644531,999.513854980469,47.4292185469281,18.9144233110818,20.795389175415,0,0,0,40,299.138854980469,6,4,1,2.06985473632813,44.4770278930664,,,,,,,,,,,,,,,,
,3981040495.8365,299.962020874023,999.5048828125,3.09097825740924E-5,9.84827122134994E-7,1,0.999253354069792,40.0298881530762,1.99900705974947,12.5500001013279,0.0001662606937352,2.94042168745828E-5,0.25,-3.11286080365965E-7,3.09052735561643E-5,-1.90660615974005E-7,299.971649169922,299.971649169922,999.495910644531,999.513854980469,47.1720627641012,18.914004344375,20.8001708984375,0,0,0,40,299.089019775391,6,4,1,2.07107543945313,43.9882698059082,,,,,,,,,,,,,,,,
,3981040496.883,299.942520141602,999.549713134766,2.99632204010788E-5,1.02921403715401E-6,1,0.999253354069792,40.0298881530762,1.9989727122525,12.5500001013279,0.000162505257571732,2.13549578362499E-5,0.25,-1.63325026732922E-6,2.99640648729857E-5,-1.51606429006249E-6,299.952392578125,299.952392578125,999.513854980469,999.585571289063,47.5159793125627,18.9160537172737,20.7939167022705,0,0,0,40,299.040191650391,6,4,1,2.08969116210938,44.4770278930664,,,,,,,,,,,,,,,,
,3981040497.8935,299.926208496094,999.531768798828,2.96750495622068E-5,8.57859280568496E-7,1,0.999253354069792,40.0298881530762,1.99897381431277,12.5500001013279,0.000162058528206352,1.51901181621115E-5,0.25,-2.7275926811802E-6,2.96802344293058E-5,-2.61132307236901E-6,299.932647705078,299.932647705078,999.477966308594,999.585571289063,47.6597989601012,18.9160194150112,20.798807144165,0,0,0,40,298.95458984375,6,4,1,2.0684814453125,44.4770278930664,,,,,,,,,,,,,,,,
,3981040498.8565,299.909790039063,999.5048828125,3.1945308868782E-5,9.77954571027524E-7,1,0.999253354069792,40.0298881530762,1.99894824952704,12.5500001013279,0.000172738676923473,2.55152381692151E-5,0.25,-1.22946780659511E-6,3.19442512236837E-5,-1.10460948888719E-6,299.919769287109,299.919769287109,999.477966308594,999.531799316406,47.4636102017743,18.915873209507,20.8004264831543,0,0,0,40,298.905792236328,6,4,1,2.069091796875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040499.841,299.894622802734,999.531799316406,2.9317245521066E-5,9.50900292770593E-7,1,0.999253354069792,40.0298881530762,1.99900722814904,12.5500001013279,0.000158899120777692,2.14591331451848E-5,0.25,-1.49297619945529E-6,2.93177140710026E-5,-1.37831674809487E-6,299.899810791016,299.899810791016,999.531799316406,999.531799316406,47.3432394098127,18.9149038385058,20.796724319458,0,0,0,40,298.845733642578,6,4,1,2.07000732421875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040500.815,299.878204345703,999.531799316406,3.01301234091128E-5,1.0519998130095E-6,1,0.999253354069792,40.0298881530762,1.99899382630086,12.5500001013279,0.000161538696621783,3.1480636642776E-5,0.25,2.21452552857062E-7,3.01237721914888E-5,3.38978186870839E-7,299.889434814453,299.889434814453,999.531799316406,999.531799316406,47.6754315304858,18.9141939070917,20.8028240203857,0,0,0,40,298.79833984375,6,4,1,2.069091796875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040501.833,299.860198974609,999.558685302734,3.0273853751802E-5,8.76945321158776E-7,1,0.999253354069792,40.0298881530762,1.99900974424527,12.5500001013279,0.000162046287356294,3.30427987506177E-5,0.25,4.85450049743867E-7,3.0266465923374E-5,6.03497237748584E-7,299.866973876953,299.866973876953,999.531799316406,999.585571289063,47.5167609410819,18.9167374183824,20.7982902526855,0,0,0,40,298.749755859375,6,4,1,2.0904541015625,44.9657897949219,,,,,,,,,,,,,,,,
,3981040502.8585,299.841430664063,999.531768798828,3.0749951085123E-5,8.16654292318966E-7,1,0.999253354069792,40.0298881530762,1.99897603392839,12.5500001013279,0.000165818955007373,2.7010381515988E-5,0.25,-7.27240564213317E-7,3.07472302307889E-5,-6.07106992686179E-7,299.853424072266,299.853424072266,999.477966308594,999.585571289063,47.6340052189666,18.9160680453547,20.7999801635742,0,0,0,40,298.703125,6,4,1,2.07015991210938,43.49951171875,,,,,,,,,,,,,,,,
,3981040503.8365,299.817337036133,999.5048828125,3.03998441132692E-5,8.71292894713293E-7,1,0.999253354069792,40.0298881530762,1.99904228039064,12.5500001013279,0.000164146643392605,2.55811669804161E-5,0.25,-9.28059179996516E-7,3.03979972060562E-5,-8.09245006455676E-7,299.829437255859,299.829437255859,999.477966308594,999.531799316406,47.8044002361589,18.9152006646424,20.7959594726562,0,0,0,40,298.620208740234,6,4,1,2.0703125,44.4770278930664,,,,,,,,,,,,,,,,
,3981040504.8375,299.799545288086,999.531799316406,3.02938145941845E-5,8.31114329572683E-7,1,0.999253354069792,40.0298881530762,1.99903978186047,12.5500001013279,0.000162926538600864,2.89496214215906E-5,0.25,-2.8080730040205E-7,3.02894802689584E-5,-1.62515176475073E-7,299.805236816406,299.805236816406,999.531799316406,999.531799316406,47.6926273579089,18.9174157590946,20.799674987793,0,0,0,40,298.56298828125,6,4,1,2.09075927734375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040505.853,299.780014038086,999.558685302734,3.06142274783572E-5,9.99366365190314E-7,1,0.999253354069792,40.0298881530762,1.99899854757542,12.5500001013279,0.000165519748825069,2.45925976683339E-5,0.25,-1.15226082313168E-6,3.06132592185807E-5,-1.03255336288327E-6,299.793853759766,299.793853759766,999.531799316406,999.585571289063,47.6074298493127,18.9162225446162,20.7956199645996,0,0,0,40,298.515625,6,4,1,2.09060668945313,44.4770278930664,,,,,,,,,,,,,,,,
,3981040506.844,299.7607421875,999.567657470703,3.12961187702706E-5,1.01401046256294E-6,1,0.999253354069792,40.0298881530762,1.99897706581759,12.5500001013279,0.000169074435242329,2.58364669415993E-5,0.25,-1.04823124691574E-6,3.12946449114143E-5,-9.25871954140546E-7,299.766174316406,299.766174316406,999.549743652344,999.585571289063,47.7309271553512,18.9147630469171,20.8016109466553,0,0,0,40,298.469451904297,6,4,1,2.08908081054687,40.0782012939453,,,,,,,,,,,,,,,,
,3981040507.837,299.741500854492,999.567657470703,3.07183761067815E-5,9.8611903776645E-7,1,0.999253354069792,40.0298881530762,1.99899457161185,12.5500001013279,0.000163545594440795,3.82248415214106E-5,0.25,1.36738767437543E-6,3.07075960389554E-5,1.48707214982111E-6,299.755310058594,299.755310058594,999.549743652344,999.585571289063,47.7137313279281,18.9156475799353,20.8001098632813,0,0,0,40,298.425048828125,6,4,1,2.07000732421875,44.4770278930664,,,,,,,,,,,,,,,,
,3981040508.8285,299.719589233398,999.522796630859,3.11903496438742E-5,1.05904905527996E-6,1,0.999253354069792,40.0298881530762,1.99899483828326,12.5500001013279,0.000168689072632289,2.47650587226057E-5,0.25,-1.22805562403779E-6,3.11896440093243E-5,-1.10605907809632E-6,299.727691650391,299.727691650391,999.460021972656,999.585571289063,47.5058181418127,18.9152061198094,20.8042526245117,0,0,0,40,298.343994140625,6,4,1,2.0703125,44.4770278930664,,,,,,,,,,,,,,,,
,3981040509.8235,299.699020385742,999.513854980469,2.99238884214748E-5,8.91637143857066E-7,1,0.999253354069792,40.0298881530762,1.9988965401273,12.5500001013279,0.000161163109493934,2.7330105253373E-5,0.25,-5.1289277169395E-7,2.99206363648876E-5,-3.9595791980974E-7,299.711486816406,299.711486816406,999.460021972656,999.567687988281,47.4370348321204,18.9130129242619,20.8041172027588,0,0,0,40,298.300018310547,6,4,1,2.06787109375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040510.832,299.67268371582,999.558715820312,2.9181524503946E-5,1.02297645379316E-6,1,0.999253354069792,40.0298881530762,1.99901410048878,12.5500001013279,0.000156422201539407,3.06684838541319E-5,0.25,2.47623490955059E-7,2.91754610169602E-5,3.61538280764868E-7,299.686553955078,299.686553955078,999.549743652344,999.567687988281,47.6871559582743,18.9143613890772,20.8050689697266,0,0,0,40,298.242645263672,6,4,1,2.07000732421875,43.49951171875,,,,,,,,,,,,,,,,
,3981040511.8385,299.651580810547,999.5048828125,3.08311729145598E-5,9.85761731931608E-7,1,0.999253354069792,40.0298881530762,1.99908219363133,12.5500001013279,0.000166265886741333,2.70875577520646E-5,0.25,-7.28461163868831E-7,3.0828656948427E-5,-6.07924200535686E-7,299.658813476562,299.658813476562,999.460021972656,999.549743652344,47.6066482207935,18.9162623733098,20.8106422424316,0,0,0,40,298.197296142578,6,4,1,2.06939697265625,44.4770278930664,,,,,,,,,,,,,,,,
,3981040512.8325,299.629150390625,999.477966308594,3.05628731156316E-5,7.98932458139687E-7,1,0.999253354069792,40.0298881530762,1.99901150987633,12.5500001013279,0.00016433142241577,2.94251133287931E-5,0.25,-2.42667019863345E-7,3.05585315369567E-5,-1.23251868246305E-7,299.644348144531,299.644348144531,999.460021972656,999.495910644531,47.6723050164089,18.9143976675311,20.8075733184814,0,0,0,40,298.151184082031,6,4,1,2.06939697265625,44.4770278930664,,,,,,,,,,,,,,,,
,3981040513.8235,299.608657836914,999.513854980469,3.05229897961362E-5,9.27926449550505E-7,1,0.999253354069792,40.0298881530762,1.99897849765648,12.5500001013279,0.000165282653210202,2.31481515410796E-5,0.25,-1.40428685883927E-6,3.05232153742996E-5,-1.28481773463306E-6,299.613952636719,299.613952636719,999.495910644531,999.531799316406,47.4659550873319,18.9150830825974,20.8118076324463,0,0,0,40,298.105834960937,6,4,1,2.06832885742187,44.4770278930664,,,,,,,,,,,,,,,,
,3981040514.825,299.586975097656,999.5048828125,3.05086206833434E-5,9.25692637123084E-7,1,0.999253354069792,40.0298881530762,1.99897395968769,12.5500001013279,0.000163738007082325,3.09688753236323E-5,0.25,5.51097256926763E-8,3.05031721416791E-5,1.7428160262597E-7,299.603363037109,299.603363037109,999.477966308594,999.531799316406,47.7887676657743,18.9153570089522,20.8077526092529,0,0,0,40,298.024261474609,6,4,1,2.0672607421875,43.0107536315918,,,,,,,,,,,,,,,,
,3981040515.8165,299.556854248047,999.486938476563,3.07170143602292E-5,9.20545042177266E-7,1,0.999253354069792,40.0298881530762,1.99902361162358,12.5500001013279,0.000164608572814382,3.25270324789381E-5,0.25,3.06144185609223E-7,3.07105828809419E-5,4.26101863098245E-7,299.570587158203,299.570587158203,999.477966308594,999.495910644531,47.6019584496781,18.9160106724081,20.8112812042236,0,0,0,40,297.978759765625,6,4,1,2.08984375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040516.7975,299.534896850586,999.522827148438,2.9887113738739E-5,9.16718102958883E-7,1,0.999253354069792,40.0298881530762,1.99899051655383,12.5500001013279,0.000161310423460725,2.549807881825E-5,0.25,-8.47580227793281E-7,2.98853553838637E-5,-7.30658722846904E-7,299.543121337891,299.543121337891,999.495910644531,999.549743652344,47.648856160832,18.9138327227588,20.8102035522461,0,0,0,40,297.922058105469,6,4,1,2.06787109375,44.4770278930664,,,,,,,,,,,,,,,,
,3981040517.804,299.512298583984,999.5048828125,2.96947995554492E-5,9.5214206098742E-7,1,0.999253354069792,40.0298881530762,1.99895401131043,12.5500001013279,0.00015931623160172,3.04252215497261E-5,0.25,1.06253867008556E-7,2.96893712578487E-5,2.22272698967772E-7,299.526672363281,299.526672363281,999.460021972656,999.549743652344,47.401861548755,18.9145632762465,20.8094921112061,0,0,0,40,297.877136230469,6,4,1,2.07077026367187,44.4770278930664,,,,,,,,,,,,,,,,
,3981040518.819,299.484375,999.460021972656,2.96630765937321E-5,6.58282399531042E-7,1,0.999253354069792,40.0298881530762,1.999032821513,12.5500001013279,0.000161765889226489,1.64374599215156E-5,0.25,-2.49335731181119E-6,2.96678431924799E-5,-2.37701316764046E-6,299.497924804687,299.497924804687,999.460021972656,999.460021972656,47.5714749374281,18.9145675983288,20.81032371521,0,0,0,40,297.831268310547,6,4,1,2.06771850585938,44.4770278930664,,,,,,,,,,,,,,,,
,3981040519.8295,299.464096069336,999.468994140625,3.04894561573095E-5,9.96013413073378E-7,1,0.999253354069792,40.0298881530762,1.9989720977307,12.5500001013279,0.000164391062659155,2.69161373683776E-5,0.25,-6.96251848560967E-7,3.04870835322576E-5,-5.76970565780234E-7,299.470825195313,299.470825195313,999.460021972656,999.477966308594,47.2635133008512,18.9153066710136,20.8117809295654,0,0,0,40,297.749786376953,6,4,1,2.06832885742187,44.4770278930664,,,,,,,,,,,,,,,,
