[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981034196.06941,02/23/2026,6:52 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 7.14999996125698 mm,3981034332.8635,1.99719822406769,999.477966308594,0.000157786293304096,5.58706923896075E-7,1,0.999253354069792,40.0298881530762,1.99942927296186,12.5599997118115,0.000786064907400049,0.000155291461706779,2.5,-9.19716069556854E-7,0.000146707813479332,2.02892891924676E-6,1.99719822406769,1.99719822406769,999.477966308594,999.477966308594,47.1103141110819,18.8959913940995,2.84501051902771,0,0,0,40,1.98595714569092,1,4,1,2.08816528320313,33.2355842590332,,,,,,,,,,,,,,,,
,3981034337.688,1.99487853050232,999.513854980469,0.000159896878214249,4.38302907458713E-7,1,0.999253354069792,40.0298881530762,1.99950087563311,12.5500001013279,0.00079574552567513,0.000163934607992311,0.25,3.67533499297155E-7,0.00014864645782914,3.26423912787708E-6,1.99487853050232,1.99487853050232,999.513854980469,999.513854980469,46.8961478968127,18.8981143236514,2.8460385799408,0,0,0,40,1.98944473266602,6,4,1,2.09304809570313,35.190616607666,,,,,,,,,,,,,,,,
,3981034337.7945,1.99526846408844,999.513854980469,0.000159896878180948,4.3830290736743E-7,1,0.999253354069792,40.0298881530762,1.99950087563311,12.5599997118115,0.00079574552567513,0.000163934607992311,0.25,3.67533499220612E-7,0.00014864645782914,3.26423912787708E-6,1.99487853050232,1.99487853050232,999.513854980469,999.513854980469,46.6116351158126,18.8981143236514,2.8460385799408,0,0,0,40,1.98944473266602,6,4,1,2.086181640625,33.7243423461914,,,,,,,,,,,,,,,,
,3981034338.3765,1.99593204259872,999.468994140625,0.000160206526933711,4.58170912158489E-7,1,0.999253354069792,40.0298881530762,1.99949452593379,12.5500001013279,0.00079752197802061,0.000163083143235534,0.25,1.3357326931728E-7,0.000148938608002125,3.0523885405509E-6,1.99565839767456,1.99565839767456,999.424133300781,999.513854980469,47.3885738639281,18.9012528587692,2.84667277336121,0,0,0,40,1.99099683761597,6,4,1,2.0892333984375,33.2355842590332,,,,,,,,,,,,,,,,
,3981034339.348,1.99845212697983,999.442077636719,0.000159683380570117,4.28259639856181E-7,1,0.999253354069792,40.0298881530762,1.99960474373952,12.5500001013279,0.000795152455321128,0.000161615498797538,0.25,-5.6412218973313E-8,0.000148455720668031,2.86619957989524E-6,1.99620568752289,1.99620568752289,999.424133300781,999.460021972656,46.9524251501973,18.9033270588443,2.84769177436829,0,0,0,40,1.99800264835358,6,4,1,2.06649780273438,33.2355842590332,,,,,,,,,,,,,,,,
,3981034340.332,2.0036689043045,999.477966308594,0.000159692987399651,4.19252029996898E-7,1,0.999253354069792,40.0298881530762,1.99949017996718,12.5500001013279,0.000795141304629366,0.00016168858207478,0.25,-4.18847994497172E-8,0.000148464387537734,2.87988245078974E-6,2.00069856643677,2.00069856643677,999.460021972656,999.495910644531,47.2486623589858,18.8994865690361,2.85086107254028,0,0,0,40,2.0090754032135,6,4,1,2.08541870117187,33.7243423461914,,,,,,,,,,,,,,,,
,3981034341.3355,2.01660645008087,999.477966308594,0.00015998694346616,3.9089957796273E-7,1,0.999253354069792,40.0298881530762,1.9995240849364,12.5599997118115,0.000797337694887032,0.000158454830413456,0.25,-7.51752674183952E-7,0.000148750648843875,2.22530425265545E-6,2.00663924217224,2.00663924217224,999.460021972656,999.495910644531,47.5292669973896,18.903515550994,2.85786604881287,0,0,0,40,2.04606080055237,6,4,1,2.11273193359375,33.7243423461914,,,,,,,,,,,,,,,,
,3981034342.3485,2.04197025299072,999.477966308594,0.000159867019812106,4.63830305469595E-7,1,0.999253354069792,40.0298881530762,1.99944883636702,12.5500001013279,0.00079581018079555,0.00016275384345757,0.25,1.37289167855847E-7,0.000148622910365567,3.04963815541911E-6,2.0265736579895,2.0265736579895,999.460021972656,999.495910644531,47.4190573761781,18.9039037223178,2.86688375473022,0,0,0,40,2.07705926895142,6,4,1,2.09365844726562,34.7018585205078,,,,,,,,,,,,,,,,
,3981034343.3365,2.06418085098267,999.513854980469,0.000160392422698946,4.4973260319016E-7,1,0.999253354069792,40.0298881530762,1.99949823243123,12.5500001013279,0.000798351729284101,0.000163749673383838,0.25,2.29529016385014E-7,0.000149109684215343,3.14499644468252E-6,2.05736684799194,2.05736684799194,999.495910644531,999.531799316406,47.5167609410819,18.9032817928849,2.88308930397034,0,0,0,40,2.10347938537598,2,4,1,2.08740234375,33.7243423461914,,,,,,,,,,,,,,,,
,3981034344.343,2.08803105354309,999.540771484375,0.000159337253741608,4.51581712832065E-7,1,0.999253354069792,40.0298881530762,1.99952602735044,12.5500001013279,0.000793438017366069,0.00016106544453853,0.25,-9.51735729582441E-8,0.000148134650231234,2.82384143109267E-6,2.07099485397339,2.07099485397339,999.531799316406,999.549743652344,46.9391374653703,18.9048378496194,2.89283204078674,0,0,0,40,2.12548208236694,2,4,1,2.09014892578125,34.2131004333496,,,,,,,,,,,,,,,,
