[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981137949.77731,02/24/2026,11:41 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 9.39999986439943 mm,3981138089.2245,9.00242328643799,0.699638187885284,-3.37448568772749E-6,5.2539072211498E-7,1,0.999253354069792,40.0298881530762,2.00858387051122,14.8000000044703,-1.51663502380483E-5,-1.18294990523658E-5,0.25,-1.67928797179113E-6,-3.10649821585504E-6,-1.62202064548969E-6,9.00242328643799,9.00242328643799,0.699638187885284,0.699638187885284,47.1947299911588,18.9906608618345,5.2173867225647,0,0,0,40,8.9980993270874,1,4,1,2.10586547851562,34.7018585205078,,,,,,,,,,,,,,,,
,3981138097.0645,9.00112342834473,1.59959605336189,-3.75734622257464E-6,5.91019121855892E-7,1,0.999253354069792,40.0298881530762,1.99463720150066,14.8000000044703,-1.75855065927728E-5,-9.08886698968493E-6,0.25,-1.06569563147347E-6,-3.47348729898818E-6,-1.05855840599275E-6,9.0012035369873,9.0012035369873,0.771395981311798,2.42779612541199,46.931321180178,18.9872575545392,5.22069406509399,0,0,0,40,8.99546051025391,1,6,1,2.0843505859375,36.1681327819824,,,,,,,,,,,,,,,,
,3981138098.0525,9.00079441070557,44.0071986913681,-3.02222360909287E-6,5.18001787835058E-7,1,0.999253354069792,40.0298881530762,1.9946942805364,14.8000000044703,-1.48256805464091E-5,-3.9658906785704E-6,0.25,-1.83736941535808E-7,-2.8060797115903E-6,-2.25436494958417E-7,9.00104331970215,9.00104331970215,2.42779612541199,85.5866012573242,46.9477353790819,18.987265572651,5.22068643569946,0,0,0,40,8.99525260925293,1,6,1,2.08297729492187,36.1681327819824,,,,,,,,,,,,,,,,
,3981138099.048,9.00045967102051,133.618831634521,5.96560472186139E-6,6.20269328006075E-7,1,0.999253354069792,40.0298881530762,1.99468376341156,14.8000000044703,3.00114717105576E-5,4.15680343380399E-6,0.25,-3.76593652924204E-7,5.55236500351904E-6,-2.42145741783954E-7,9.00054550170898,9.00054550170898,85.5866012573242,181.651062011719,47.2330297886012,18.9881661894146,5.22159337997437,0,0,0,40,8.99570274353027,1,6,1,2.07855224609375,36.1681327819824,,,,,,,,,,,,,,,,
,3981138100.0335,9.0003924369812,230.735702514648,2.22098421424458E-5,7.90927450407188E-7,1,0.999253354069792,40.0298881530762,1.99465434475931,14.8000000044703,0.000110949220146477,1.93222523479343E-5,0.25,-6.28008622118823E-7,2.06575479002608E-5,-1.81593793387745E-7,9.00037384033203,9.00037384033203,181.651062011719,279.820343017578,47.577727965582,18.9919823414926,5.22162532806396,0,0,0,40,8.9957275390625,1,6,1,2.08404541015625,36.1681327819824,,,,,,,,,,,,,,,,
,3981138101.0525,9.00043725967407,329.4072265625,4.19478591685443E-5,9.87002685124939E-7,1,0.999253354069792,40.0298881530762,1.99462284811416,14.8000000044703,0.000209439070539037,3.7036634179759E-5,0.25,-1.07768691955906E-6,3.90144730220385E-5,-2.4139987098673E-7,9.00041103363037,9.00041103363037,279.820343017578,378.994110107422,46.8523766997357,18.9880168584483,5.22198390960693,0,0,0,40,8.99583148956299,1,6,1,2.08297729492187,37.1456527709961,,,,,,,,,,,,,,,,
,3981138102.081,9.00053024291992,433.704132080078,6.08919397942127E-5,8.76752164567833E-7,1,0.999253354069792,40.0298881530762,1.99450408405253,14.8000000044703,0.000302715415813411,6.01225520166606E-5,0.25,-2.84745937672551E-7,5.66112441798695E-5,8.40415194380391E-7,9.00046348571777,9.00046348571777,378.994110107422,488.414154052734,47.0423124299088,18.9910577533763,5.22211837768555,0,0,0,40,8.9959192276001,1,6,1,2.0806884765625,36.6568908691406,,,,,,,,,,,,,,,,
,3981138103.097,9.00069093704224,533.265121459961,8.10731184177258E-5,9.9280331184182E-7,1,0.999253354069792,40.0298881530762,1.99463943611998,14.8000000044703,0.000403658275560318,7.71862191688089E-5,0.25,-9.58495058049209E-7,7.538506245434E-5,5.82050333791462E-7,9.00059700012207,9.00059700012207,488.414154052734,578.116088867187,47.0516919721396,18.9902013426445,5.22269487380981,0,0,0,40,8.99599933624268,1,6,1,2.0849609375,37.1456527709961,,,,,,,,,,,,,,,,
,3981138104.0755,9.00079154968262,627.968780517578,9.9394349825968E-5,9.91245686919816E-7,1,0.999253354069792,40.0298881530762,1.99465551247868,14.8000000044703,0.000493434282049273,0.000101775017000752,0.25,2.60995150491063E-7,9.23958005344327E-5,2.0506819833489E-6,9.0007848739624,9.0007848739624,578.116088867187,677.821472167969,47.2994682127358,18.9917010047783,5.22292280197144,0,0,0,40,8.9956111907959,1,6,1,2.08023071289062,37.1456527709961,,,,,,,,,,,,,,,,
,3981138105.0395,9.00079393386841,727.766906738281,0.000119860217660778,1.07131905014176E-6,1,0.999253354069792,40.0298881530762,1.99463754758851,14.8000000044703,0.00059592287204496,0.000118381266958785,0.25,-5.63966040122449E-7,0.000111437956588306,1.65875528637389E-6,9.00079822540283,9.00079822540283,677.821472167969,777.712341308594,47.4307818039666,18.9891281711902,5.22308254241943,0,0,0,40,8.99510002136231,1,6,1,2.07962036132813,37.1456527709961,,,,,,,,,,,,,,,,
